Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Season,Position
Tad Dufelmeier Jr.,ADE,27,13.6,4.4,1.7,4.3,0.395,0.3,1.2,0.242,0.7,1,0.667,1,1.1,2.1,2.2,0.6,0,1,1.4,2022,PG
Jarrad Weeks,JACK,33,11,3.5,1.2,3.3,0.364,0.8,2.4,0.329,0.3,0.4,0.833,0.2,1.4,1.6,0.9,0.1,0,0.6,0.8,2022,PG
Biwali Bayles,SYD,17,10.1,3.5,1.3,3.3,0.379,0.3,1.3,0.261,0.6,0.9,0.625,0.1,1.3,1.4,1,0.3,0.2,0.9,0.9,2022,PG
Jarrod Kenny,CRN,21,16.1,3.1,1,2.7,0.386,0.7,2,0.357,0.3,0.4,0.778,0.3,1.2,1.6,1.9,0.2,0.1,1,1.2,2022,PG
Isaac White,ILL,24,7.6,2.7,0.9,2.3,0.389,0.3,0.9,0.333,0.6,0.8,0.833,0.7,1,1.7,0.5,0.1,0,0.3,0.7,2022,PG
Lachlan Barker,SEM,14,7.6,2.6,1,2.4,0.412,0.2,0.7,0.3,0.4,0.4,0.833,0.4,0.4,0.7,0.3,0.1,0,0.3,0.6,2022,PG
Tamuri Wigness,BRI,17,6.8,2,0.8,2,0.412,0.1,0.4,0.286,0.2,0.4,0.667,0.2,0.7,0.9,0.5,0.2,0,0.4,0.5,2022,PG
Owen Foxwell,SEM,4,10.6,2,0.7,1.7,0.429,0.2,0.5,0.5,0.2,0.5,0.5,1,0.5,1.5,0.5,0.2,0,0.2,1.7,2022,PG
Kyle Zunic,PER,16,10.1,1.7,0.6,2.2,0.286,0.2,1.5,0.13,0.3,0.4,0.667,0.3,1.1,1.4,0.8,0.3,0,0.4,0.6,2022,PG
Robbie Heath,CRN,3,3.6,1.4,0.7,1.7,0.4,0,0,0,0,0,0,0,0.3,0.3,0.3,0,0,0,0,2022,PG
Emmett Naar,ILL,10,4.9,1.1,0.5,1,0.5,0,0.2,0,0.1,0.2,0.5,0.1,0.6,0.7,0.7,0.1,0,0.2,0.3,2022,PG
Iggy Mitchell,SYD,3,2.2,0.3,0,0,0,0,0,0,0.3,0.6,0.5,0.3,0,0.3,0,0,0,0,0,2022,PG
Lachlan Timothy Dent,ILL,6,2,0,0,0.8,0,0,0.7,0,0,0,0,0,0,0,0,0.2,0,0.2,0.7,2022,PG
Sejr Deans,JACK,2,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,2022,PG
Jayden Hodgson,SYD,5,2.1,0,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0.2,0,0,0,0.2,2022,PG
Nathan Sobey,BRI,36,34,20.4,7,15.3,0.458,2.8,7.4,0.382,3.6,4,0.887,0.7,4,4.7,4.5,0.9,0.2,2.5,1.6,2021,PG
Casper Ware,SYD,36,33.4,17.5,5.9,14.7,0.402,2.1,6.9,0.304,3.6,4.3,0.823,0.4,2.7,3.2,4.3,0.7,0.1,2.6,2,2021,PG
Scott Machado,CRN,35,31.1,15.9,5.7,13.8,0.411,2,5.5,0.358,2.6,3.2,0.8,0.6,2.9,3.5,7,0.9,0,3.1,2.3,2021,PG
Keifer Sykes,SEM,27,27.1,14.4,5.5,13.2,0.416,1.8,5.1,0.365,1.6,1.9,0.863,0.6,2.5,3.1,5,0.8,0.1,2.1,2.3,2021,PG
Corey Webster,NZB,28,25.9,13.6,5.2,12,0.429,1.9,5.3,0.354,1.4,1.7,0.848,0.5,2.8,3.3,2.9,0.9,0,1.9,2.7,2021,PG
Kyle Adnam,SEM,39,22.2,12,4,10.1,0.401,1.6,4.2,0.367,2.3,2.7,0.841,0.4,1.4,1.8,3.5,0.7,0,1.7,2.3,2021,PG
Josh Giddey,ADE,28,32.1,10.7,4,9.5,0.425,1,3.5,0.293,1.7,2.4,0.691,1.1,6.3,7.4,7.4,1.1,0.5,3.3,1.5,2021,PG
Mitchell McCarron,MEL,42,30.1,9.4,3.5,8.1,0.436,0.9,2.8,0.308,1.5,1.7,0.849,1,4.1,5.1,5,1.3,0.3,1.9,1.6,2021,PG
Donald Sloan,ADE,6,25.6,8.9,2.5,7.4,0.333,1.5,3.6,0.409,2.5,2.8,0.882,0.2,1.7,1.8,3.1,0,0,2,2,2021,PG
Justin Simon,ILL,39,25.5,8.7,3.5,8.4,0.419,0.4,1.7,0.242,1.2,2.3,0.523,1.9,3.7,5.6,2.1,1.8,0.6,0.9,1.7,2021,PG
Mitchell Norton,PER,41,24.1,8.5,2.7,6.4,0.429,0.4,1.2,0.354,2.6,3.3,0.78,1.1,2.5,3.5,3.7,0.9,0,1.5,2.2,2021,PG
William McDowell-White,NZB,20,27.9,8.1,3.2,8.1,0.39,1.3,4.7,0.286,0.4,0.5,0.8,0.7,3.6,4.3,5.2,0.8,0.5,1.3,1.7,2021,PG
Jeremy Kendle,NZB,3,13.8,7,2.3,5.3,0.438,1,3.3,0.3,1.3,1.7,0.8,0,1.7,1.7,0,0,0,1,1.3,2021,PG
Shea Ili,MEL,34,18.8,6.5,2.2,5.4,0.414,1,2.3,0.42,1.1,1.4,0.787,0.6,1.8,2.4,2,0.6,0.1,1.2,2.1,2021,PG
Izayah Mauriohooho Le'Afa,SEM,32,15.9,6.1,2.3,5.3,0.438,1.2,3.3,0.352,0.3,0.4,0.769,0.3,1.6,1.9,1.8,0.9,0.1,1.1,2.1,2021,PG
Jeremy Kendle,ADE,7,12.2,5.3,2.1,5.2,0.4,0.7,2.8,0.263,0.4,0.6,0.75,0.1,0.6,0.7,1.9,0.6,0,1.2,1,2021,PG
Isaac White,ILL,31,11.1,4.3,1.5,3.7,0.421,0.6,2,0.328,0.6,0.7,0.905,0.4,1.2,1.5,0.5,0.2,0,0.6,1,2021,PG
Emmett Naar,ILL,37,13.4,3.7,1.4,3.7,0.382,0.4,1.1,0.341,0.5,0.7,0.8,0.4,0.9,1.3,2.5,0.3,0,0.8,0.6,2021,PG
Jarrad Weeks,NZB,18,12.8,3.7,1.2,3.4,0.361,0.5,2.5,0.205,0.7,1,0.765,0.1,0.8,0.9,1.1,0.2,0,1,1.1,2021,PG
Daniel Dillon,ADE,30,13,3.6,1.4,3,0.451,0.1,0.6,0.222,0.7,1.1,0.618,0.3,1.2,1.5,1.9,0.4,0.1,0.8,1.2,2021,PG
Adam Gibson,SEM,24,13.1,3.3,1.2,3.2,0.372,0.6,2,0.306,0.2,0.3,0.75,0.4,1,1.4,1.1,0.3,0,0.5,1.3,2021,PG
Tamuri Wigness,BRI,27,11.2,2.8,1.2,3.2,0.378,0.3,1,0.276,0.1,0.2,0.6,0.4,0.9,1.4,1,0.4,0.1,0.6,0.9,2021,PG
Jarrod Kenny,CRN,36,13.3,2.6,0.9,2.6,0.352,0.6,1.7,0.383,0.2,0.3,0.5,0.4,1.2,1.6,1.5,0.3,0,0.6,1.7,2021,PG
Jarrad Weeks,SYD,8,7.4,2,0.7,1.6,0.462,0.5,1.2,0.4,0,0,0,0.1,1,1.1,0.5,0,0,0.4,1,2021,PG
Lochlan Hutchison,SYD,6,7.2,1.5,0.5,1.6,0.3,0.3,1,0.333,0.2,0.3,0.5,0.3,0.8,1.1,0.8,0.3,0.3,0.3,1.3,2021,PG
