Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Season,Position
Travis Trice,CRN,26,26.7,15.1,5.1,12.1,0.421,1.6,4.2,0.374,3.3,4.2,0.8,0.7,2.4,3.1,3.6,1.3,0.2,1.5,1.4,2017,PG
Jason Cadee,SYD,28,31.3,13.3,4,10.6,0.379,2.2,6.3,0.345,3.1,3.6,0.84,0.5,2,2.5,3.2,0.9,0.1,1.3,2.2,2017,PG
Corey Webster,NZB,15,28.2,11.6,4.3,12,0.357,1.5,5.4,0.28,1.5,1.7,0.88,0.3,1.4,1.7,2.8,0.6,0.2,2.6,2.6,2017,PG
Jermaine Beal,BRI,23,30.8,11.5,3.7,10,0.371,1.5,4.9,0.312,2.6,3.1,0.841,0.6,2,2.6,2.2,0.7,0,1.8,2.1,2017,PG
Jeremy Kendle,BRI,7,25.6,11.1,4.3,9.3,0.469,0.7,2.6,0.278,1.7,2,0.857,0.6,2.3,2.9,2.5,0.9,0,1.9,2,2017,PG
Cedric Jackson,MEL,9,28.9,10.2,4.1,10.8,0.379,0.2,1.9,0.118,1.8,3.7,0.485,1.6,3.4,5,5.6,1.5,0.2,2.3,2.4,2017,PG
Ben Woodside,NZB,6,29.3,8.9,3.2,7.2,0.442,0.8,2.9,0.294,1.7,2.2,0.769,0.5,2.9,3.4,5.6,1.3,0.2,2.7,2.9,2017,PG
David Stockton,NZB,10,21,8.1,2.7,7.4,0.368,1,3.3,0.294,1.6,2.1,0.773,0.8,1.8,2.6,4.1,0.5,0.1,2.2,2.7,2017,PG
Mitchell Norton,ILL,31,21.1,7.8,2.5,5.2,0.473,0.5,1.4,0.348,2.4,3,0.802,0.6,1.3,1.9,2.8,1,0.1,1.2,2.2,2017,PG
Jarrad Weeks,CRN,30,15.9,6.5,2.1,5.6,0.37,1.1,2.9,0.369,1.3,1.6,0.787,0.3,1.1,1.4,1.9,0.7,0.1,1.3,1.9,2017,PG
Brendan Teys,ADE,31,18.6,4.8,1.6,4.5,0.356,0.4,1.7,0.218,1.2,1.5,0.82,0.4,1.3,1.8,1.2,0.5,0,0.9,1.9,2017,PG
Shea Ili,NZB,17,19.1,4.3,1.2,4,0.3,0.6,2,0.324,1.3,2,0.647,0.5,1.4,1.9,1.4,0.8,0.1,1.6,2.6,2017,PG
Jarrod Kenny,PER,30,18.3,4.2,1.5,4.3,0.357,0.8,2.3,0.333,0.4,0.8,0.458,0.7,1.2,1.8,2.1,0.6,0,1.3,2.1,2017,PG
Nate Tomlinson,MEL,25,12.4,3.9,1.3,2.7,0.493,0.5,1.3,0.364,0.8,1.1,0.704,0.2,1,1.2,1.6,0.2,0,0.8,1.5,2017,PG
Isaih Tueta,NZB,11,11.2,3.8,1.1,2.8,0.387,0.5,1.3,0.357,1.2,1.4,0.867,0.2,0.9,1.1,1.1,0.3,0.1,1,1.3,2017,PG
Kyle Adnam,MEL,20,9,3.6,1.2,3.4,0.338,0.3,1.5,0.2,1,1.3,0.769,0.4,0.6,1,1.2,0.1,0,0.5,0.8,2017,PG
Isaih Tueta,BRI,8,12,3.4,1.2,3.9,0.3,0.4,1.4,0.273,0.7,1,0.625,0,1.3,1.3,1.4,0.3,0,1.2,1.2,2017,PG
Damon Heuir,CRN,18,6.5,3.1,1.1,3.2,0.339,0.4,1.4,0.292,0.5,0.6,0.9,0.2,0.8,1,0.6,0.3,0,0.7,0.7,2017,PG
Angus Glover,ILL,3,3.6,2.2,0.6,1.2,0.5,0.6,1.2,0.5,0.3,0.6,0.5,0.3,0.3,0.6,0,0.3,0,1.2,0.3,2017,PG
Adam Doyle,ADE,21,6.4,2,0.7,1.7,0.395,0.2,0.7,0.25,0.4,0.6,0.769,0.1,0.4,0.5,0.8,0.2,0,0.5,0.5,2017,PG
Corban Wroe,PER,15,9.8,1.3,0.5,1.8,0.308,0.1,0.6,0.222,0.1,0.1,0.5,0.4,0.7,1.1,0.8,0.3,0.1,0.7,1.6,2017,PG
Sam Johns,ADE,6,2.5,0.5,0.2,0.6,0.25,0.2,0.3,0.5,0,0,0,0,0.2,0.2,0.2,0,0,0.3,0.2,2017,PG
Anthony Fisher,CRN,2,5.4,0,0,2.1,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,2017,PG
Derone Raukawa,NZB,1,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2017,PG
Nelson Larkins,ADE,3,1.1,0,0,0.3,0,0,0.3,0,0,0,0,0,0,0,0,0.3,0,0,0,2017,PG
Hong Wang,BRI,3,0.4,0,0,0.3,0,0,0,0,0,0,0,0,0.3,0.3,0,0,0,0,0.7,2017,PG
Dzherom Rendl,ADE,23,31.2,22.1,7.8,17.1,0.457,1.9,5.9,0.317,4.6,5.3,0.873,0.3,2.4,2.7,5,0.6,0,3,1.8,2016,PG
Corey Webster,NZB,28,33.5,19.5,7.1,17.9,0.396,2.8,8,0.344,2.6,3.2,0.802,0.4,1.7,2.2,2.3,1,0.3,2.5,2,2016,PG
Kevin Lisch,ILL,27,31,19.2,6.3,12.8,0.497,2.3,5.6,0.408,4.2,5,0.852,1.2,2.3,3.5,3.3,1.8,0.1,2,1.8,2016,PG
Stephen Holt,MEL,30,32,15.8,4.9,12.4,0.393,2.5,6.6,0.381,3.5,4.4,0.8,0.9,2.8,3.7,3.7,0.3,0,2.2,1.5,2016,PG
Jason Cadee,SYD,28,29.2,13.5,4.2,10.2,0.414,2.2,6.1,0.356,2.9,3.6,0.8,0.4,2.6,3.1,3.4,0.8,0.1,1.9,1.2,2016,PG
Markel Starks,CRN,26,24.6,13.1,5.5,12.1,0.452,0.7,3.1,0.224,1.5,1.8,0.841,0.6,1.7,2.3,2.5,0.4,0,1.5,2,2016,PG
Mitchell Norton,TOW,28,24.3,9,3.1,7.4,0.412,0.8,2.4,0.313,2.1,2.7,0.76,0.6,2.2,2.7,2.8,0.7,0.1,1.5,3.1,2016,PG
Jarrad Weeks,ILL,31,14.1,6,1.8,3.9,0.472,0.8,1.9,0.426,1.5,1.9,0.783,0.4,0.8,1.2,1.4,0.6,0,1,1.9,2016,PG
Damian Martin,PER,24,26.4,5.6,2.2,5.2,0.426,0.8,2.3,0.352,0.3,0.8,0.4,1.2,3.3,4.5,3.4,1.8,0.3,1.8,2.2,2016,PG
Mirko Djeric,TOW,24,16.4,5.4,1.8,5.6,0.331,1.4,4.2,0.323,0.3,0.6,0.615,0.2,1.1,1.3,0.9,0.1,0,0.5,1,2016,PG
Jarrod Kenny,PER,34,19,4.7,1.7,4.1,0.419,0.9,2.4,0.367,0.4,0.6,0.7,0.7,1.4,2.1,1.3,0.4,0,1,2.2,2016,PG
Emmanuel Golong,MEL,3,15.2,4.6,1.3,3,0.444,0.7,1.7,0.4,1.3,2,0.667,0.3,0.7,1,0.7,0,0,1.7,0,2016,PG
Kenyon McNeaill,ADE,3,11.6,4.1,1.4,4.5,0.308,0.7,2.7,0.25,0.7,0.7,1,0.3,0.3,0.7,0.3,0.3,0,0.7,2.1,2016,PG
Brendan Teys,ADE,26,12,3.7,1.5,3.1,0.476,0.4,1.2,0.333,0.3,0.4,0.75,0.2,0.9,1.1,0.5,0.1,0,0.6,0.9,2016,PG
Nate Tomlinson,MEL,30,16.7,3.6,1.2,3.5,0.327,0.6,1.8,0.346,0.7,1.1,0.656,0.3,1.2,1.5,2.6,0.3,0,1.2,2.3,2016,PG
Larry Davidson,ILL,31,13.2,3.3,1.1,2.6,0.422,0.1,0.6,0.167,1,1.2,0.795,1,1.9,3,0.9,0.3,0.3,1.1,2.4,2016,PG
Chris Cedar,TOW,2,11.1,1.6,0.5,3.8,0.143,0.5,2.7,0.2,0,0,0,0,0.5,0.5,0.5,0,0,0,2.2,2016,PG
Shea Ili,NZB,21,5.7,1.6,0.5,1.6,0.333,0.2,0.8,0.235,0.4,0.6,0.667,0.6,0.6,1.2,0.6,0.1,0,0.4,0.9,2016,PG
Damon Heuir,CRN,21,4.3,1.5,0.5,1.1,0.5,0.3,0.4,0.667,0.1,0.1,0.667,0.3,0.3,0.7,0.2,0.2,0,0.1,0.7,2016,PG
Shane McDonald,NZB,22,6.2,1.3,0.4,1.7,0.231,0.1,0.7,0.188,0.4,0.4,0.8,0.2,0.7,0.9,0.6,0.1,0,0.6,1,2016,PG
Corban Wroe,PER,19,5.5,0.9,0.3,0.8,0.333,0.1,0.4,0.286,0.3,0.3,0.833,0.1,0.3,0.4,0.8,0.1,0,0.3,0.9,2016,PG
Brent Wallace,TOW,1,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,PG
Anthony Fisher,CRN,2,1,0,0,0,0,0,0,0,0,0,0,0,0.6,0.6,0,0,0,0,0,2016,PG
Ben Kearins,SYD,2,1.7,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,1,0,2016,PG
Jayden Hodgson,SYD,6,4.4,0,0,0.3,0,0,0.3,0,0,0,0,0,0.3,0.3,0.5,0.5,0,0,0.5,2016,PG
Nelson Larkins,ADE,2,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,2016,PG
Jamar Wilson,ADE,26,29.2,18.7,5.9,13.1,0.452,1.3,3.3,0.398,5.5,6.5,0.846,1.3,3.4,4.6,2.9,0.5,0,2.4,2.6,2015,PG
Scottie Wilbekin,CRN,32,31.4,16.1,5.8,14.7,0.391,1.5,5.3,0.284,3,3.6,0.835,1.2,2.6,3.9,4.5,1.2,0.1,1.8,2.4,2015,PG
Corey Webster,NZB,32,28.8,15.1,5.6,13.4,0.418,2.2,5.2,0.42,1.7,2.3,0.757,0.3,2.1,2.4,1.7,1,0.3,1.3,2.5,2015,PG
Jahii Carson,ILL,27,27.3,14.9,5.1,11.8,0.432,0.6,2,0.288,4.1,5.4,0.762,0.6,1.9,2.6,2.5,0.8,0,2.6,2.8,2015,PG
Gary Ervin,ILL,27,29.9,14.5,5.3,13.7,0.383,1.5,4.8,0.317,2.5,3.1,0.815,0.9,2.3,3.2,3.7,0.9,0.1,2.3,1.9,2015,PG
Kendrick Perry,SYD,28,23.6,10.4,3.7,8.9,0.41,1,3.5,0.276,2.1,2.8,0.738,0.7,2.9,3.6,2.3,1.1,0.3,1.7,2.9,2015,PG
Steven Markovic,TOW,28,19.7,9.9,3.3,8.1,0.414,1.6,4.2,0.37,1.6,1.9,0.868,0.4,1.8,2.2,4.3,0.6,0,2.6,1.5,2015,PG
Stephen Dennis,MEL,27,23.3,9.8,3.7,8.6,0.436,0.6,2,0.291,1.7,2.4,0.738,0.6,2.6,3.3,3.3,1.3,0.1,2.3,1.9,2015,PG
Jason Cadee,SYD,28,21.9,8,2.5,6.7,0.369,1.4,4.1,0.345,1.7,2.2,0.787,0.2,2.1,2.4,2.1,0.4,0,1.2,1.8,2015,PG
Mitchell Norton,TOW,28,20.7,7.8,2.7,6.7,0.41,0.8,2.5,0.314,1.6,2.3,0.677,0.5,1.5,2,2.9,0.3,0,2.3,2.4,2015,PG
Brendan Teys,ADE,30,22.5,6.8,2.4,6.1,0.388,0.7,1.9,0.339,1.4,1.7,0.8,0.5,1.1,1.6,1.4,0.4,0.2,1.2,1.9,2015,PG
Damian Martin,PER,30,31.8,5.8,2.2,6.2,0.352,0.9,2.8,0.305,0.6,0.8,0.708,1.8,4,5.7,4.2,2.6,0.2,1.7,2.7,2015,PG
Nate Tomlinson,MEL,26,21.8,4.9,1.7,4.7,0.371,0.7,2.9,0.25,0.7,1,0.731,0.4,1.9,2.3,3,0.5,0,1.6,2.1,2015,PG
Luke Martin,PER,9,7.5,2.9,1.2,2.6,0.455,0.5,1.3,0.364,0.1,0.6,0.2,0.2,1,1.3,0.7,0.7,0,0.9,0.3,2015,PG
Mirko Djeric,TOW,28,12.5,2.7,0.9,3,0.306,0.6,2.2,0.286,0.2,0.3,0.778,0.2,1.1,1.3,0.6,0.3,0,0.6,0.8,2015,PG
Nelson Larkins,ADE,2,1.1,1.4,0.5,0.9,0.5,0.5,0.5,1,0,0,0,0,0.5,0.5,0,0,0,0.5,0,2015,PG
Shea Ili,NZB,5,2.4,1.4,0.4,1,0.4,0,0.4,0,0.6,0.8,0.75,0,0,0,0.2,0,0,0.2,0.8,2015,PG
Tom Daly,ADE,25,4.6,0.7,0.3,1,0.333,0,0.3,0.143,0,0.2,0,0,0.4,0.4,0.4,0,0,0.3,0.9,2015,PG
Ben Dixon,TOW,1,1.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,PG
Marco Alexander,MEL,1,1.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,PG
Ashley Constable,CRN,1,3.9,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2015,PG
Anthony Fisher,PER,8,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.1,0,0,0,2015,PG
Rotnei Clarke,ILL,30,35.9,22.2,7.8,17,0.457,3.3,8.3,0.403,3.3,4.1,0.81,0.3,1.8,2.1,3.6,0.5,0,2.5,1.3,2014,PG
Gary Ervin,ADE,31,29.1,15.1,5.1,12.8,0.399,1.5,4.1,0.37,3.3,4.3,0.779,0.7,2.8,3.4,4.3,1.2,0.1,2,1.9,2014,PG
Jamar Wilson,CRN,26,26.5,14.2,4.9,9.8,0.5,0.4,1.5,0.263,4,4.8,0.837,1.3,2.6,4,2.6,0.7,0.2,2.8,2.3,2014,PG
Steven Markovic,TOW,28,25.9,13.2,4.5,9.8,0.453,1.9,4.7,0.409,2.4,2.8,0.872,0.4,1.4,1.8,4.6,0.7,0,2.2,2.9,2014,PG
Kerron Johnson,NZB,28,27.6,12.3,4.5,8.9,0.5,0.8,2.6,0.311,2.4,4.1,0.598,0.5,2.2,2.7,4.1,1.2,0.1,2.1,3.3,2014,PG
Charles Carmouche,SYD,20,26.4,11.5,3.8,10.2,0.376,2,5.1,0.392,1.9,2.8,0.667,0.4,2.6,3,1.2,0.9,0.3,1.6,3,2014,PG
Jesse Sanders,SYD,13,31.1,10.3,3.7,8.4,0.441,0.4,2.2,0.172,2.6,2.9,0.895,1.9,2.7,4.6,3.4,1.8,0.1,2.1,2.5,2014,PG
Damian Martin,PER,33,32.3,7.8,2.9,6.4,0.444,1.2,3,0.421,0.8,1.4,0.614,1.6,3.3,4.8,4.2,2.3,0.5,1.7,2.5,2014,PG
Nate Tomlinson,MEL,31,31.2,7.7,2.5,6.6,0.375,1.4,4,0.352,1.4,1.9,0.737,0.4,3,3.4,5.4,0.7,0.1,1.8,2.8,2014,PG
Mitchell Norton,TOW,27,19.7,6.8,1.6,4.2,0.379,0.8,1.9,0.404,2.8,3.2,0.885,0.4,1,1.4,2.6,0.3,0,1.2,1.4,2014,PG
C.J. Bruton,NZB,27,19.3,6,1.7,4.3,0.387,1,3,0.333,1.6,1.8,0.843,0.2,1,1.2,2.1,0.7,0,0.6,1.7,2014,PG
Jason Cadee,ADE,33,18,5.7,1.8,5.1,0.358,0.8,2.5,0.307,1.3,1.5,0.833,0.5,1.5,2,2.3,0.2,0.1,1,1.5,2014,PG
Brendan Teys,ADE,29,12,3.4,1.3,2.8,0.466,0.3,1,0.3,0.5,0.7,0.667,0.6,0.6,1.3,0.6,0.4,0,0.3,1.4,2014,PG
Mirko Djeric,TOW,24,12.9,2.7,1,3,0.315,0.8,2.5,0.317,0,0.1,0.5,0.1,0.6,0.7,0.8,0.2,0,0.3,0.8,2014,PG
Erik Burdon,PER,29,5,1.5,0.6,1.9,0.296,0.4,1.3,0.297,0,0,0,0.1,0.1,0.2,0.1,0,0,0.2,0.5,2014,PG
Jarrad Weeks,SYD,12,4.5,0.9,0.4,1.2,0.357,0.1,0.4,0.2,0,0.2,0,0,0.4,0.4,0.4,0.2,0.2,0.5,0.8,2014,PG
Kyle Adnam,ADE,2,4.7,0.9,0.5,1.8,0.25,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0.5,0,2014,PG
Adam Doyle,ADE,2,3.5,0.9,0.5,1.8,0.25,0,0.5,0,0,0,0,0,0.5,0.5,0.5,0,0,0,0,2014,PG
Josh Myles,TOW,1,0.6,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,PG
Anthony Fisher,PER,1,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,PG
Jonny Flynn,MEL,19,33.4,17.7,6.1,15.3,0.397,1.1,3.4,0.308,4.5,5.7,0.789,0.6,3.3,3.8,5.8,0.6,0.4,4.1,2,2013,PG
Adris DeLeon,ILL,30,28.7,17.1,5.7,13.7,0.412,1.7,5.1,0.329,4.2,5.3,0.778,1,2.7,3.7,3.2,1.4,0.1,2.9,1.9,2013,PG
Gary Ervin,TOW,27,33.2,16.5,5.7,13.4,0.425,1.4,4.6,0.304,3.7,4.7,0.783,0.5,3.2,3.7,4.3,1.1,0,2.8,2.1,2013,PG
Jamar Wilson,CRN,28,34.2,15.6,5.4,12.7,0.427,0.7,2.1,0.333,4,5.3,0.76,1.8,3,4.8,3.6,0.5,0,3,2.6,2013,PG
Kevin Lisch,PER,32,31.1,15.2,5.2,13.3,0.393,2.1,5.6,0.367,2.7,3.4,0.798,0.8,2,2.8,3,1,0.2,2.3,1.5,2013,PG
Cedric Jackson,NZB,33,30.4,14,5.4,13.1,0.412,1.2,3.9,0.313,2.1,4,0.529,1.1,4.7,5.8,6.7,2.7,0.1,2.9,2.7,2013,PG
Corin Henry,SYD,22,30.5,13.1,4.8,12.3,0.387,1.3,4.2,0.298,2.3,3.3,0.689,0.5,3.3,3.8,2.9,1.1,0.1,2.4,2.5,2013,PG
Lance Hurdle,ILL,15,27.5,11.8,4.1,10.6,0.386,1.7,4.7,0.358,1.9,2.5,0.75,0.3,2.3,2.6,1.5,0.9,0.2,1.2,1.7,2013,PG
Malcolm Grant,ILL,13,25.4,10.1,3.6,9.5,0.381,1.3,4.4,0.291,1.5,2,0.76,0,1.9,1.9,2.4,0.3,0.1,2.5,1.1,2013,PG
Kevin Braswell,MEL,5,28.4,9.6,3.3,10.4,0.315,0.8,4.6,0.167,2.3,2.5,0.923,0.2,2.3,2.5,5,2.3,0,2.9,2.9,2013,PG
Larry Davidson,ILL,26,26.9,9.1,3.5,8,0.43,0.6,1.7,0.333,1.6,2.2,0.727,2.1,4.8,6.9,1.5,0.4,0.6,1.3,2.4,2013,PG
C.J. Bruton,NZB,33,20,8,2.3,5.8,0.386,1.5,3.9,0.389,2.1,2.8,0.737,0.4,1.4,1.8,1.3,0.7,0.1,1.2,1.4,2013,PG
Jason Cadee,ADE,28,26.2,7.4,2.7,6.8,0.394,0.9,3,0.298,1.1,1.9,0.582,0.5,1.6,2.1,2.5,0.5,0.2,1.2,1.7,2013,PG
Corey Webster,NZB,28,13.4,7.3,2.9,6.6,0.444,0.8,2.4,0.353,0.7,0.9,0.84,0.6,0.7,1.3,1.1,0.3,0.1,0.9,1.2,2013,PG
Mirko Djeric,ILL,8,11.8,3.3,1.2,3.1,0.375,0.8,2.2,0.353,0.1,0.3,0.5,0.1,0.1,0.3,0.8,0.1,0,0.7,0.7,2013,PG
Nathan Crosswell,ADE,28,13.5,3.1,1.2,2.8,0.438,0,0.2,0.143,0.6,1.1,0.5,0.3,0.8,1.1,1.7,0.3,0.1,1.3,1.4,2013,PG
Tai Webster,NZB,7,5.3,2.8,1,2.4,0.412,0.4,1,0.429,0.4,0.6,0.75,0.4,0.3,0.7,0.6,0,0.3,0.7,0.6,2013,PG
Tom Daly,ADE,18,9.6,2.4,0.9,2.4,0.364,0.2,0.5,0.3,0.5,0.8,0.643,0.4,0.6,1,0.9,0.4,0.1,0.3,1.1,2013,PG
Chris Cedar,TOW,26,8.7,1.8,0.6,2.3,0.254,0.3,1.1,0.276,0.3,0.5,0.643,0.4,0.8,1.2,0.7,0.1,0,0.3,1.3,2013,PG
Kerry Williams,CRN,24,11.3,1.8,0.7,2.3,0.296,0.3,1.2,0.241,0.1,0.3,0.5,0.1,1.1,1.2,1.2,0.8,0,1,1.5,2013,PG
Jarrad Weeks,SYD,10,6.2,1.7,0.5,1.5,0.333,0.2,1.1,0.182,0.5,0.8,0.625,0,0.1,0.1,0.3,0.6,0.1,0.4,0.5,2013,PG
Alister MacDonald,MEL,3,3.7,1.6,0.3,1.6,0.2,0,0.3,0,1,2,0.5,0,0,0,0.3,0.3,0,0,0.7,2013,PG
Luke Martin,SYD,26,7.6,0.8,0.2,1.6,0.146,0.1,0.9,0.083,0.3,0.5,0.583,0.1,0.5,0.6,0.8,0.4,0,0.5,1,2013,PG
Zac Delaney,ILL,3,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,1,0,2013,PG
Brendan Teys,TOW,2,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,PG
Trian Iliadis,PER,1,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,PG
Josh Bloxham,NZB,4,1.7,0,0,0.7,0,0,0.5,0,0,0,0,0,0.2,0.2,0.5,0.5,0,0,0.2,2013,PG
Patty Mills,MEL,9,33.9,18.4,6.5,15.4,0.421,2.6,7.6,0.348,2.8,3.4,0.806,0.3,2,2.3,5,0.8,0.1,2.4,1.5,2012,PG
Jamar Wilson,CRN,27,34.2,17.9,6.4,13.8,0.464,0.6,2.2,0.276,4.5,5.6,0.796,1.5,4,5.5,3.1,0.6,0.1,3.3,2.3,2012,PG
Kevin Lisch,PER,34,33.1,16.8,5.4,12.2,0.443,2.1,5.6,0.367,3.9,4.8,0.812,0.9,2.7,3.6,3.1,1.1,0.2,2.3,2.1,2012,PG
Adris DeLeon,GCB,28,28.8,16.2,5.5,13.3,0.414,1.9,5,0.368,3.4,4.3,0.795,1.2,3.1,4.2,3.1,1.5,0.1,2.8,2.3,2012,PG
Chris Warren,ADE,28,32,14,4.8,11.7,0.408,2.5,6.8,0.363,1.9,2.3,0.844,0.4,1.9,2.3,3.2,0.7,0.2,2.9,2.3,2012,PG
Eddie Gill,TOW,31,29,13.2,3.9,10.3,0.379,1.3,4,0.328,4.1,5.1,0.813,0.5,2.6,3.1,3.7,1.4,0.1,2.9,3,2012,PG
Cedric Jackson,NZB,33,31.6,12.9,4.5,10.8,0.42,0.8,3,0.255,3,4.9,0.611,1.3,4.1,5.5,6.5,2.3,0.3,3.3,2.6,2012,PG
Adam Gibson,GCB,30,31.5,11.1,4.2,10.2,0.414,1.4,4.2,0.328,1.3,1.7,0.755,0.8,3.2,4.1,4.6,1.1,0,2,2.8,2012,PG
C.J. Bruton,NZB,28,24.7,10.9,3.7,9.3,0.394,2.4,6.4,0.374,1.6,2,0.807,0.6,1.3,1.9,1.8,0.6,0,1,1.9,2012,PG
Myron Allen,MEL,9,31.6,10.1,3.9,9.5,0.405,0.7,2.5,0.273,1.7,2.3,0.75,1.1,4.9,6,6.4,1.1,0.2,4.5,3.3,2012,PG
Larry Davidson,ILL,25,22.3,8.7,3.4,6.9,0.491,0.4,1.4,0.294,1.5,1.9,0.778,1.6,3.4,5.1,0.6,0.3,0.3,1.1,2.9,2012,PG
Nathan Crosswell,ADE,9,22.5,7.4,2.3,5.1,0.458,0,0,0,2.7,3.7,0.714,0.2,1.7,1.9,4.5,0.5,0,2.1,3,2012,PG
Damian Martin,PER,26,29.2,7.3,2.8,7.4,0.374,0.6,2.4,0.234,1,1.5,0.667,1.9,3.6,5.5,3.4,2,0.8,1.5,2.5,2012,PG
Showron Glover,ILL,11,14.4,6,2.2,4.8,0.462,0.2,1.1,0.167,1.4,2,0.682,0.3,0.9,1.2,2.6,1.1,0,2.5,1.3,2012,PG
Darren Ng,ADE,28,15.2,6,2,5.1,0.386,1.2,3.4,0.358,0.7,0.8,0.909,0.5,1.2,1.7,0.7,0.6,0.1,0.7,1.5,2012,PG
Luke Martin,SYD,28,17.5,5.3,2,4.7,0.433,0.7,2.2,0.313,0.6,0.8,0.667,0.1,1.3,1.4,2.4,0.4,0.1,1.8,2.2,2012,PG
Jason Cadee,GCB,31,17.7,5.1,1.9,4.9,0.387,0.7,2,0.365,0.6,1,0.576,0.6,1.3,1.9,1.9,0.4,0.1,0.8,1.3,2012,PG
Chris Cedar,TOW,31,13.3,4.6,1.6,4.2,0.382,0.5,1.9,0.279,0.9,1.2,0.744,0.4,0.9,1.3,1.2,0.4,0,1,1.7,2012,PG
Shane McDonald,MEL,1,5.1,3.8,1,1,1,0,0,0,1.9,1.9,1,0,0,0,1,0,0,1.9,0,2012,PG
Luke Cooper,SYD,28,17.4,3.2,1,3.1,0.318,0.3,1.5,0.209,1,1.6,0.622,0.4,1,1.4,2,0.7,0,1.3,1.7,2012,PG
Kerry Williams,CRN,28,12.5,2.6,1.1,3.4,0.315,0.3,1.3,0.25,0.2,0.4,0.417,0.5,0.9,1.4,1,0.9,0.1,0.9,1.4,2012,PG
Deba George,CRN,16,7.7,2.2,0.7,3.2,0.224,0.5,2.4,0.222,0.2,0.3,0.75,0.2,0.5,0.7,0.5,0.2,0,1,1.1,2012,PG
Tom Daly,ADE,12,6,1.7,0.6,1.3,0.438,0.2,0.5,0.333,0.4,0.9,0.455,0.2,0.4,0.7,0.6,0.2,0,0.7,0.7,2012,PG
Josh Bloxham,NZB,17,6.2,1.6,0.4,1.5,0.269,0.3,1.1,0.278,0.5,0.5,1,0.3,0.4,0.7,0.2,0.1,0,0.7,0.7,2012,PG
Brendan Teys,GCB,16,7,1.4,0.6,1.5,0.375,0.1,0.8,0.167,0.1,0.3,0.5,0.4,0.8,1.2,0.1,0.1,0,0.5,0.6,2012,PG
Tom Wright,SYD,2,1.5,1.4,0,0,0,0,0,0,1.4,1.9,0.75,0,0.5,0.5,0,0,0,0,0,2012,PG
Zac Delaney,ILL,3,0.9,1.1,0.4,0.4,1,0.4,0.4,1,0,0,0,0,0,0,0,0,0,0.4,0,2012,PG
Josh Wilcher,MEL,2,8.7,0,0,0.5,0,0,0.5,0,0,0,0,0,0.5,0.5,1,0,0,0.5,0.5,2012,PG
Mitch Philp,CRN,2,1.5,0,0,0.5,0,0,0.5,0,0,0,0,0,0.5,0.5,0,0,0,1,0,2012,PG
Barry Brown Jr.,NZB,28,26.5,19.9,7.1,15.8,0.448,1.9,5.6,0.336,3.9,5.4,0.723,0.6,2.3,2.9,2.5,1.3,0,2.2,2.6,2023,SG
Tyler Harvey,ILL,27,33.5,18.9,6.7,17.2,0.393,3.2,8.5,0.38,2.2,2.8,0.8,0.4,1.9,2.3,1.9,1.5,0.1,2.3,2.5,2023,SG
Milton Doyle,JACK,31,29.5,17.9,6.4,14.4,0.441,2.3,7,0.327,2.8,3.3,0.876,0.9,4.3,5.2,3.9,1.7,0.2,3,3,2023,SG
Chris Goulding,MEL,26,33.3,17.1,5.7,13.2,0.429,3.5,9.2,0.384,2.2,2.5,0.892,0.4,1.9,2.3,2.2,0.8,0.1,1.9,2.4,2023,SG
Tahjere McCall,CRN,25,30.6,15.9,5.6,13.1,0.428,0.6,2.6,0.224,4,6.2,0.648,1.8,3.7,5.5,4,2,0.2,3.1,3.3,2023,SG
Tyler Johnson,BRI,24,28.5,15.7,5.6,11.5,0.486,1.5,4.3,0.356,3,3.8,0.785,0.5,3,3.4,2.8,1.2,0.3,2,2,2023,SG
Dejan Vasiljevic,SYD,36,26.5,13,4.7,11.3,0.412,2.2,6,0.363,1.5,1.8,0.836,0.5,3.7,4.2,1.7,0.4,0,1.1,1.6,2023,SG
Trey Kell,SEM,24,28.9,12.5,4.3,11.3,0.38,1.8,5,0.355,2.1,2.7,0.785,0.9,2.9,3.8,2.8,0.8,0.3,1.5,2.6,2023,SG
