Player,Team,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,Season,Position
Tyler Harvey,ILL,0.513,0.488,152.8,0.7,10.5,5.6,15.3,8.4,2.7,0.4,23.6,2.2,1.1,108.6,108.0,0.6,267.5,16.7,2022,PG
Nathan Sobey,BRI,0.531,0.452,152.8,1.6,14.1,8.0,21.3,13.3,1.5,1.1,25.9,0.0,1.2,107.8,107.0,0.8,113.4,16.7,2022,PG
Peyton Siva,NZB,0.529,0.471,151.9,1.8,9.6,5.5,30.1,16.9,3.8,0.4,23.4,3.1,1.2,103.9,111.7,-7.7,196.7,16.5,2022,PG
Joshua Magette,JACK,0.467,0.43,141.6,2.8,12.3,7.2,32.6,13.9,3.0,0.4,21.0,6.4,1.0,103.5,105.0,-1.6,352.0,15.1,2022,PG
Ben Ayre,CRN,0.544,0.488,160.3,1.7,10.1,5.9,34.4,14.1,1.9,0.7,19.1,7.6,1.2,114.3,110.1,4.2,43.2,14.7,2022,PG
Kyle Adnam,SEM,0.52,0.472,166.5,1.8,11.0,6.3,23.6,14.7,1.0,0.0,25.9,1.2,1.1,105.6,113.0,-7.4,108.9,14.4,2022,PG
Isaac White,ILL,0.517,0.454,155.6,9.3,13.3,11.3,9.1,11.4,0.8,0.5,16.9,0.0,1.2,113.6,108.1,5.5,50.3,13.3,2022,PG
William McDowell-White,NZB,0.544,0.522,170.8,3.1,13.0,7.8,22.9,16.2,2.0,0.8,14.2,4.7,1.1,110.7,115.7,-5.0,174.2,13.3,2022,PG
Jeremiah Martin,NZB,0.46,0.421,132.7,1.8,8.4,4.9,20.8,11.3,2.2,1.2,23.7,1.6,1.0,94.6,111.6,-17.0,66.0,13.0,2022,PG
Matt Dellavedova,MEL,0.499,0.474,148.1,2.9,9.9,6.4,28.7,16.9,1.6,0.2,20.6,4.1,1.1,105.3,100.7,4.6,223.0,12.9,2022,PG
Tad Dufelmeier Jr.,ADE,0.461,0.43,130.4,7.8,8.7,8.3,25.6,17.7,2.3,0.3,18.3,3.3,1.0,101.2,111.5,-10.3,100.8,12.6,2022,PG
Mitchell McCarron,ADE,0.441,0.408,138.2,4.8,17.5,11.0,21.7,17.9,3.0,1.0,13.6,4.1,0.9,100.6,106.5,-6.0,301.4,12.5,2022,PG
Emmett Naar,ILL,0.506,0.5,100.0,2.3,11.9,7.4,19.2,15.5,1.1,0.0,11.7,5.6,1.1,112.2,106.2,6.0,12.9,11.0,2022,PG
Lachlan Barker,SEM,0.491,0.456,154.5,5.2,5.5,5.4,5.6,9.8,1.0,0.0,16.6,-1.2,1.1,105.2,116.5,-11.3,15.0,9.3,2022,PG
Jarrad Weeks,JACK,0.503,0.481,152.7,2.3,14.6,8.1,13.5,14.5,0.4,0.3,16.4,0.1,1.1,99.7,110.1,-10.5,73.5,9.0,2022,PG
Robbie Heath,CRN,0.4,0.4,40.0,0.0,10.2,5.3,16.7,0.0,0.0,0.0,21.5,6.5,0.8,90.4,115.0,-24.6,2.1,8.7,2022,PG
Biwali Bayles,SYD,0.461,0.431,126.5,1.3,12.3,7.2,16.7,18.7,1.5,1.6,20.7,-1.7,1.0,87.8,102.6,-14.8,31.4,8.2,2022,PG
Tamuri Wigness,BRI,0.464,0.441,136.4,3.1,11.7,7.5,12.1,14.1,1.3,0.0,16.4,0.0,1.0,95.1,114.5,-19.4,19.6,8.1,2022,PG
