Player,Team,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,Season,Position
Jarrad Weeks,CRN,0.502,0.471,141.8,3.1,6.7,4.8,19.2,13.2,1.7,0.4,22.7,0.5,1.1,103.7,119.5,-15.7,113.1,11.3,2018,PG
Nathan Sobey,ADE,0.518,0.473,153.8,2.3,13.0,8.1,15.7,14.7,1.4,0.9,22.1,-0.6,1.2,104.1,106.7,-2.6,239.0,11.0,2018,PG
Jeremy Kendle,SYD,0.513,0.486,142.4,6.3,13.7,9.9,24.6,23.1,0.6,2.0,26.8,-3.8,1.1,94.0,127.2,-33.2,23.3,10.6,2018,PG
Jarrod Kenny,PER,0.519,0.507,142.6,3.2,7.5,5.3,15.0,17.2,0.9,0.0,16.6,0.1,1.1,104.5,118.6,-14.1,88.7,8.8,2018,PG
Damon Heuir,CRN,0.47,0.382,130.2,4.8,10.5,7.4,8.6,12.5,0.9,0.0,22.9,-3.3,1.2,98.3,120.2,-21.9,42.8,8.5,2018,PG
Kyle Adnam,MEL,0.531,0.5,170.9,2.7,9.0,5.8,15.2,19.4,1.1,0.0,18.7,-1.4,1.1,102.3,110.6,-8.3,48.8,8.1,2018,PG
Adam Doyle,ADE,0.361,0.316,123.5,3.4,8.4,6.1,12.4,0.0,1.4,0.0,12.3,5.8,0.8,105.7,106.2,-0.5,12.3,6.5,2018,PG
Nelson Larkins,ADE,0.373,0.346,95.1,3.1,17.5,10.5,11.2,11.9,1.3,2.4,18.9,0.0,0.8,85.4,106.3,-20.9,3.5,4.1,2018,PG
Brendan Teys,ADE,0.414,0.406,111.4,3.3,5.8,4.7,7.5,15.9,1.2,0.9,12.2,-0.7,0.9,88.1,110.4,-22.3,20.4,3.5,2018,PG
Bryce Cotton,PER,0.612,0.558,171.4,2.5,9.5,5.9,18.6,9.0,2.0,0.0,28.3,0.7,1.4,124.4,107.3,17.1,211.8,24.5,2017,PG
Casper Ware,MEL,0.557,0.506,158.2,0.9,8.4,4.5,26.2,11.0,2.1,0.2,31.1,1.7,1.3,113.9,111.6,2.3,204.1,21.5,2017,PG
Travis Trice,CRN,0.543,0.487,159.5,2.9,11.0,6.9,24.6,10.0,2.5,0.5,26.0,3.2,1.3,113.9,112.6,1.3,252.0,20.2,2017,PG
Rotnei Clarke,ILL,0.605,0.568,175.3,3.0,8.4,5.7,18.4,9.4,1.9,0.1,24.7,1.3,1.3,120.5,111.3,9.2,342.3,19.5,2017,PG
Dzherom Rendl,ADE,0.601,0.552,176.9,2.3,7.9,5.2,31.2,17.4,1.6,0.0,28.7,-0.5,1.3,114.3,109.2,5.1,343.6,19.3,2017,PG
Kevin Dillard,NZB,0.557,0.508,166.6,1.7,12.3,7.3,29.3,19.7,2.6,0.6,29.2,-2.6,1.2,105.9,106.8,-0.8,86.5,17.0,2017,PG
Jason Cadee,SYD,0.545,0.483,156.4,1.7,7.9,4.8,17.0,10.0,1.6,0.4,19.4,2.7,1.3,114.8,114.7,0.1,220.5,14.1,2017,PG
Mitchell Norton,ILL,0.599,0.521,162.3,3.1,7.5,5.3,21.0,15.9,2.4,0.5,16.5,2.9,1.5,119.5,109.2,10.3,182.4,14.0,2017,PG
Jeremy Kendle,BRI,0.549,0.508,160.4,2.9,10.8,7.0,17.4,15.6,1.7,0.0,21.5,-1.0,1.2,105.2,121.0,-15.8,43.3,13.8,2017,PG
Cedric Jackson,MEL,0.411,0.389,98.1,5.9,13.3,9.5,30.2,15.4,2.7,0.7,22.8,5.1,0.9,94.1,107.3,-13.2,77.9,13.5,2017,PG
Ben Woodside,NZB,0.544,0.5,150.5,2.1,11.0,6.7,27.7,24.7,2.4,0.5,16.7,3.5,1.2,107.3,111.0,-3.8,49.7,12.3,2017,PG
Jarrad Weeks,CRN,0.515,0.466,152.7,2.5,8.2,5.3,20.1,17.6,2.3,0.6,21.5,-0.5,1.2,100.0,112.9,-12.8,96.8,11.5,2017,PG
Nate Tomlinson,MEL,0.615,0.582,156.0,2.1,9.0,5.4,19.3,21.0,1.0,0.0,14.5,1.6,1.4,113.8,113.0,0.8,66.4,11.1,2017,PG
Kyle Adnam,MEL,0.453,0.382,130.7,4.8,7.1,5.9,20.5,11.2,0.6,0.0,22.3,3.0,1.1,101.6,115.0,-13.5,34.7,11.1,2017,PG
David Stockton,NZB,0.484,0.434,143.5,4.6,10.3,7.5,31.9,21.2,1.2,0.4,22.4,2.2,1.1,99.5,109.8,-10.3,49.5,10.6,2017,PG
Jermaine Beal,BRI,0.507,0.446,152.3,2.5,7.6,5.1,11.4,13.6,1.1,0.1,18.8,-1.1,1.2,105.7,117.4,-11.7,114.9,10.0,2017,PG
Damon Heuir,CRN,0.447,0.402,153.1,4.2,14.8,9.5,16.5,16.6,2.3,0.0,28.9,-4.9,1.0,87.0,111.2,-24.2,19.9,9.7,2017,PG
Isaih Tueta,NZB,0.559,0.468,161.1,2.0,9.4,5.7,14.4,22.6,1.3,0.7,17.6,-2.4,1.4,102.6,111.9,-9.3,20.5,8.9,2017,PG
Adam Doyle,ADE,0.503,0.447,141.4,1.8,7.0,4.5,18.1,21.5,1.4,0.0,17.4,-0.4,1.2,97.7,108.1,-10.4,21.0,7.7,2017,PG
Corey Webster,NZB,0.453,0.42,151.8,1.1,5.8,3.5,16.4,16.8,1.1,0.6,24.3,-2.4,1.0,90.1,114.9,-24.8,44.5,6.8,2017,PG
Jarrod Kenny,PER,0.45,0.444,114.9,4.1,7.6,5.8,17.0,22.2,1.7,0.2,14.5,0.2,1.0,91.7,110.4,-18.7,74.4,6.4,2017,PG
Brendan Teys,ADE,0.465,0.396,139.4,2.8,7.9,5.5,9.5,14.1,1.3,0.0,14.5,-0.3,1.1,99.7,109.8,-10.1,67.1,6.4,2017,PG
Angus Glover,ILL,0.717,0.75,150.0,10.9,11.0,11.0,0.0,45.0,4.4,0.0,33.9,-31.2,1.8,66.3,95.8,-29.6,1.4,6.3,2017,PG
Shea Ili,NZB,0.441,0.379,127.1,3.3,7.9,5.7,11.4,24.1,2.2,0.3,15.0,-3.0,1.1,85.3,108.8,-23.4,26.6,4.4,2017,PG
Nelson Larkins,ADE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8,0.0,13.5,0.0,0.0,0.0,78.1,-78.1,0.2,4.3,2017,PG
Isaih Tueta,BRI,0.388,0.35,119.8,0.0,13.4,7.0,18.1,21.2,1.1,0.0,21.0,-1.9,0.9,79.2,123.7,-44.5,7.9,3.7,2017,PG
Corban Wroe,PER,0.353,0.346,103.0,4.7,9.1,6.8,11.9,29.0,1.8,0.7,11.2,-2.1,0.7,75.0,112.2,-37.2,8.6,2.2,2017,PG
Kevin Lisch,ILL,0.642,0.586,175.7,4.5,9.4,6.9,18.7,11.7,3.0,0.3,24.4,0.6,1.5,127.1,110.6,16.5,349.4,23.5,2016,PG
Dzherom Rendl,ADE,0.57,0.512,164.7,1.1,8.6,4.9,30.2,13.6,1.0,0.1,31.8,0.8,1.3,114.7,112.5,2.2,253.5,20.4,2016,PG
Damon Heuir,CRN,0.643,0.636,183.3,8.7,9.2,8.9,7.4,7.9,2.4,1.1,13.0,0.8,1.4,133.5,115.7,17.8,25.2,15.8,2016,PG
Stephen Holt,MEL,0.551,0.495,157.4,3.0,9.1,6.1,19.4,13.2,0.6,0.0,23.3,0.9,1.3,111.4,115.6,-4.2,269.3,15.8,2016,PG
Markel Starks,CRN,0.509,0.48,151.6,2.7,7.8,5.2,18.5,10.2,0.8,0.0,26.0,0.8,1.1,104.3,121.4,-17.0,146.6,15.4,2016,PG
Jason Cadee,SYD,0.573,0.52,157.0,1.6,10.0,5.9,19.6,13.6,1.3,0.2,21.3,1.4,1.3,112.4,113.8,-1.4,242.7,15.2,2016,PG
Jarrad Weeks,ILL,0.633,0.577,168.1,3.2,7.3,5.1,15.4,17.2,2.1,0.2,18.0,-0.4,1.5,119.1,111.8,7.3,105.5,14.0,2016,PG
Corey Webster,NZB,0.505,0.473,154.2,1.4,5.3,3.4,12.5,11.6,1.6,0.8,28.3,-3.0,1.1,103.9,106.1,-2.3,187.5,13.7,2016,PG
Mitchell Norton,TOW,0.519,0.463,148.5,2.6,10.2,6.3,18.5,15.1,1.4,0.4,18.2,1.5,1.2,107.6,115.0,-7.4,143.3,12.0,2016,PG
Damian Martin,PER,0.501,0.504,117.8,4.9,14.3,9.5,19.5,24.3,3.6,0.9,11.9,1.7,1.1,100.4,99.1,1.2,182.4,11.7,2016,PG
Anthony Fisher,CRN,0.0,0.0,0.0,0.0,69.0,31.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.4,-104.4,0.8,9.9,2016,PG
Shea Ili,NZB,0.444,0.394,123.5,11.1,10.9,11.0,14.7,17.3,1.3,0.0,16.7,0.0,1.0,101.2,105.9,-4.7,23.9,9.1,2016,PG
Larry Davidson,ILL,0.519,0.44,138.3,9.3,17.9,13.5,9.8,25.3,1.3,2.3,14.4,-3.6,1.3,99.9,109.2,-9.3,80.3,8.6,2016,PG
Brendan Teys,ADE,0.561,0.543,155.9,2.1,8.5,5.3,6.8,14.7,0.3,0.3,14.0,-1.7,1.2,107.6,114.3,-6.7,44.6,8.1,2016,PG
Jarrod Kenny,PER,0.542,0.526,148.6,3.8,8.4,6.1,10.6,19.0,1.2,0.1,12.1,-0.6,1.2,105.6,109.8,-4.1,97.6,7.6,2016,PG
Mirko Djeric,TOW,0.464,0.454,126.9,1.1,7.9,4.4,8.6,8.1,0.3,0.2,16.8,0.5,1.0,101.2,119.2,-18.0,48.4,7.3,2016,PG
Nate Tomlinson,MEL,0.453,0.413,132.9,2.0,7.2,4.6,22.8,22.9,0.9,0.2,14.1,3.3,1.0,96.1,115.3,-19.3,69.0,6.3,2016,PG
Emmanuel Golong,MEL,0.601,0.556,151.1,2.5,5.7,4.0,6.8,30.0,0.0,0.0,16.6,-7.8,1.6,90.9,128.7,-37.8,4.5,5.9,2016,PG
Jayden Hodgson,SYD,0.0,0.0,0.0,0.0,7.8,3.9,15.1,0.0,5.6,0.0,3.3,6.9,0.0,71.7,100.8,-29.1,4.2,5.9,2016,PG
Corban Wroe,PER,0.482,0.4,145.2,1.1,6.3,3.7,19.2,25.4,1.0,0.0,9.8,3.9,1.1,105.0,110.2,-5.3,12.2,5.2,2016,PG
Kenyon McNeaill,ADE,0.432,0.385,155.8,2.8,3.0,2.9,4.9,12.6,1.5,0.0,19.9,-4.0,0.9,91.8,111.0,-19.1,0.3,4.5,2016,PG
Nelson Larkins,ADE,0.75,0.75,150.0,0.0,53.4,26.9,0.0,33.3,0.0,0.0,61.1,-43.7,1.5,79.0,81.2,-2.3,1.2,26.5,2015,PG
Jamar Wilson,ADE,0.586,0.503,169.6,5.0,13.1,9.1,18.1,13.1,0.9,0.0,27.8,-1.5,1.4,116.7,107.3,9.4,258.7,19.0,2015,PG
Scottie Wilbekin,CRN,0.492,0.443,151.0,4.1,9.1,6.5,24.1,10.0,1.9,0.3,25.0,4.0,1.1,110.3,108.8,1.5,307.4,17.6,2015,PG
Steven Markovic,TOW,0.555,0.511,165.2,2.2,10.1,6.2,37.0,22.3,1.6,0.2,25.4,1.4,1.2,105.6,109.0,-3.4,181.5,15.9,2015,PG
Jahii Carson,ILL,0.526,0.456,148.3,2.6,7.7,5.2,16.6,15.6,1.6,0.1,27.6,-3.6,1.3,100.7,115.5,-14.8,147.0,14.4,2015,PG
Corey Webster,NZB,0.525,0.5,159.5,1.1,8.0,4.6,10.1,8.1,1.8,0.9,24.0,-0.5,1.1,108.9,105.6,3.3,210.4,14.3,2015,PG
Kendrick Perry,SYD,0.51,0.464,142.3,3.5,14.0,8.8,17.1,14.4,2.4,1.1,22.9,-0.6,1.2,101.4,109.2,-7.7,171.1,14.2,2015,PG
Gary Ervin,ILL,0.483,0.439,151.6,3.2,8.1,5.7,22.1,13.4,1.6,0.2,26.1,0.4,1.1,99.4,115.6,-16.2,190.7,13.9,2015,PG
Stephen Dennis,MEL,0.51,0.47,146.6,3.0,12.9,7.9,24.3,19.2,2.8,0.5,23.9,-0.5,1.1,97.2,103.2,-6.1,176.0,13.9,2015,PG
Luke Martin,PER,0.517,0.545,101.8,3.0,15.5,8.8,19.0,24.8,4.8,0.0,21.3,-6.5,1.1,87.5,100.8,-13.2,18.7,13.4,2015,PG
Anthony Fisher,PER,0.0,0.0,0.0,0.0,0.0,0.0,26.9,0.0,5.4,0.0,0.0,14.7,0.0,225.2,104.2,121.0,3.2,12.8,2015,PG
Damian Martin,PER,0.443,0.422,136.5,5.7,13.9,9.6,20.0,20.9,4.2,0.5,11.2,3.4,0.9,102.0,100.3,1.6,283.4,12.1,2015,PG
Jason Cadee,SYD,0.528,0.476,150.1,1.3,11.0,6.3,15.1,13.4,0.8,0.1,18.3,0.9,1.2,106.0,114.2,-8.3,124.9,10.9,2015,PG
Mitchell Norton,TOW,0.508,0.468,140.1,2.9,7.7,5.3,22.6,23.4,0.8,0.0,21.2,-1.9,1.2,95.0,111.4,-16.4,90.8,8.7,2015,PG
Shea Ili,NZB,0.518,0.4,115.0,0.0,0.0,0.0,12.8,12.9,0.0,0.0,27.7,-2.7,1.4,103.8,109.2,-5.5,-0.2,7.6,2015,PG
Brendan Teys,ADE,0.493,0.441,152.6,2.7,5.5,4.1,9.6,15.0,0.9,0.6,15.9,-1.2,1.1,99.6,109.2,-9.6,81.2,7.1,2015,PG
Nate Tomlinson,MEL,0.48,0.448,135.2,2.0,10.0,6.0,21.4,24.1,1.1,0.0,14.4,1.8,1.0,94.3,109.0,-14.6,95.6,7.0,2015,PG
Mirko Djeric,TOW,0.433,0.412,136.9,1.9,9.6,5.8,7.5,16.8,1.3,0.2,13.3,-1.7,0.9,88.2,109.7,-21.4,37.4,4.9,2015,PG
Tom Daly,ADE,0.325,0.352,47.6,0.9,10.3,5.6,14.4,19.3,0.4,0.0,12.9,0.8,0.7,72.1,107.3,-35.2,0.1,0.2,2015,PG
Rotnei Clarke,ILL,0.592,0.555,166.9,1.0,5.7,3.4,18.4,11.9,0.8,0.0,27.7,-0.3,1.3,115.9,126.3,-10.4,316.3,19.2,2014,PG
Jamar Wilson,CRN,0.597,0.52,160.1,6.2,12.6,9.3,16.9,19.1,1.4,0.7,25.5,-4.2,1.5,111.0,116.7,-5.7,204.4,17.7,2014,PG
Steven Markovic,TOW,0.599,0.55,173.4,1.9,7.0,4.4,31.4,16.3,1.5,0.1,23.5,3.4,1.3,117.6,118.1,-0.5,224.2,17.0,2014,PG
Gary Ervin,ADE,0.513,0.458,154.8,2.7,10.6,6.7,24.6,12.2,2.1,0.3,26.0,2.7,1.2,110.1,109.8,0.3,283.6,15.9,2014,PG
Kerron Johnson,NZB,0.574,0.545,140.9,2.3,10.1,6.1,24.7,16.3,2.3,0.3,21.5,2.4,1.4,111.7,114.0,-2.3,223.1,15.2,2014,PG
Damian Martin,PER,0.554,0.541,147.9,5.7,11.8,8.7,18.9,19.3,3.8,1.5,11.9,3.6,1.2,119.5,103.9,15.6,349.8,14.8,2014,PG
Jesse Sanders,SYD,0.536,0.464,150.9,7.0,10.1,8.6,17.1,18.0,3.1,0.2,17.0,0.5,1.2,110.5,111.8,-1.3,114.5,14.3,2014,PG
Mitchell Norton,TOW,0.603,0.47,166.8,2.4,6.2,4.2,20.0,17.2,0.8,0.0,15.9,2.7,1.6,121.2,119.2,2.0,122.5,12.3,2014,PG
C.J. Bruton,NZB,0.583,0.504,156.3,1.1,6.8,3.9,15.9,11.3,1.9,0.2,13.8,3.8,1.4,123.0,115.9,7.1,116.3,11.6,2014,PG
Charles Carmouche,SYD,0.504,0.473,143.4,1.7,11.4,6.6,7.9,12.2,1.9,1.1,22.5,-2.9,1.1,102.4,113.5,-11.1,92.6,11.3,2014,PG
Nate Tomlinson,MEL,0.522,0.483,146.4,1.6,10.9,6.4,26.4,19.6,1.1,0.3,13.6,5.9,1.2,111.1,115.3,-4.2,240.1,10.7,2014,PG
Brendan Teys,ADE,0.54,0.517,143.3,6.0,5.9,5.9,7.3,7.6,1.9,0.0,12.8,1.0,1.2,119.5,109.2,10.3,63.0,10.0,2014,PG
Jason Cadee,ADE,0.493,0.433,149.8,3.1,9.0,6.2,19.2,15.1,0.7,0.3,16.9,2.8,1.1,107.7,111.5,-3.8,123.4,9.4,2014,PG
Mirko Djeric,TOW,0.447,0.445,113.2,0.8,6.3,3.4,9.7,9.8,0.9,0.3,12.1,1.7,0.9,99.0,121.9,-22.9,31.6,5.2,2014,PG
Jarrad Weeks,SYD,0.359,0.393,55.7,0.0,10.2,5.1,14.7,28.1,3.0,4.6,17.9,-4.9,0.8,64.2,106.5,-42.3,3.1,2.8,2014,PG
Adam Doyle,ADE,0.25,0.25,25.0,0.0,13.4,7.6,18.0,0.0,0.0,0.0,23.8,7.8,0.5,72.5,106.8,-34.3,0.7,2.8,2014,PG
Erik Burdon,PER,0.398,0.398,59.4,1.6,3.2,2.4,3.2,8.5,0.4,0.6,18.2,-2.2,0.8,90.8,114.7,-23.9,0.0,2.3,2014,PG
Adris DeLeon,ILL,0.533,0.473,151.9,4.4,10.2,7.5,23.2,15.1,2.6,0.3,31.7,-2.6,1.2,103.6,108.3,-4.7,263.1,22.2,2013,PG
Cedric Jackson,NZB,0.471,0.458,125.4,4.4,18.8,11.5,38.1,16.2,4.8,0.4,26.0,5.0,1.1,105.5,90.4,15.1,416.1,21.3,2013,PG
Gary Ervin,TOW,0.532,0.477,151.2,1.8,10.8,6.4,28.4,15.1,1.8,0.1,26.8,0.4,1.2,101.9,105.4,-3.5,246.5,17.5,2013,PG
Corey Webster,NZB,0.528,0.508,163.7,5.2,6.4,5.8,15.5,11.5,1.3,0.9,26.1,-1.2,1.1,111.3,102.5,8.8,91.2,17.4,2013,PG
Jonny Flynn,MEL,0.497,0.431,149.3,2.1,10.9,6.7,33.9,18.8,1.0,1.0,31.3,-0.7,1.2,97.3,106.6,-9.4,168.0,17.2,2013,PG
Kevin Lisch,PER,0.513,0.471,155.8,2.8,7.9,5.2,17.6,13.6,1.8,0.7,24.3,-1.2,1.1,106.6,96.2,10.4,234.8,16.0,2013,PG
Larry Davidson,ILL,0.504,0.465,149.1,9.5,19.2,14.6,10.0,12.8,0.9,1.9,18.4,-1.2,1.1,106.0,107.0,-1.0,205.7,15.8,2013,PG
Jamar Wilson,CRN,0.518,0.454,152.1,6.0,10.1,8.0,20.0,16.4,0.9,0.0,24.2,-1.7,1.2,103.8,108.1,-4.3,223.9,15.8,2013,PG
Tai Webster,NZB,0.533,0.5,159.0,10.9,6.6,8.6,14.7,21.0,0.0,4.6,27.9,-6.1,1.2,105.0,105.6,-0.6,9.1,15.2,2013,PG
Lance Hurdle,ILL,0.5,0.464,149.4,1.4,9.3,5.4,10.1,9.1,1.8,0.6,22.6,-0.8,1.1,100.1,104.2,-4.1,81.4,14.8,2013,PG
C.J. Bruton,NZB,0.563,0.515,151.2,2.3,8.5,5.4,9.9,15.0,1.8,0.3,18.5,-1.9,1.4,114.4,100.8,13.6,132.9,13.6,2013,PG
Corin Henry,SYD,0.475,0.438,137.4,2.1,12.5,7.3,17.5,15.0,2.0,0.4,24.7,-1.7,1.1,94.8,104.6,-9.7,133.7,13.4,2013,PG
Kevin Braswell,MEL,0.419,0.352,140.5,0.9,8.9,5.3,32.7,20.1,4.5,0.0,23.5,1.5,0.9,90.3,96.9,-6.5,29.1,11.5,2013,PG
Tom Daly,ADE,0.439,0.398,130.6,5.2,7.3,6.3,16.5,9.1,2.2,0.9,14.7,3.5,1.0,101.5,106.1,-4.7,31.9,10.8,2013,PG
Malcolm Grant,ILL,0.484,0.449,143.2,0.0,8.3,4.5,17.7,19.4,0.7,0.3,24.4,-3.7,1.1,90.2,119.5,-29.3,44.1,10.2,2013,PG
Jason Cadee,ADE,0.481,0.459,127.3,2.3,7.0,4.6,16.6,13.5,1.0,0.6,15.7,1.8,1.1,99.3,108.0,-8.8,122.8,9.8,2013,PG
Jarrad Weeks,SYD,0.459,0.4,114.0,0.0,2.0,0.9,8.3,17.8,5.3,1.7,16.4,-3.3,1.1,87.8,101.6,-13.9,7.0,9.7,2013,PG
Josh Bloxham,NZB,0.0,0.0,0.0,0.0,17.5,8.8,32.3,0.0,15.3,0.0,18.8,18.2,0.0,49.3,73.5,-24.2,2.0,9.7,2013,PG
Alister MacDonald,MEL,0.327,0.2,70.0,0.0,0.0,0.0,13.8,0.0,4.8,0.0,31.2,5.9,1.0,85.6,109.0,-23.5,0.0,8.4,2013,PG
Mirko Djeric,ILL,0.502,0.5,122.8,1.4,1.2,1.3,11.1,16.7,0.6,0.0,15.7,-1.1,1.0,96.2,120.3,-24.1,7.8,7.2,2013,PG
Nathan Crosswell,ADE,0.462,0.444,108.0,2.4,7.1,4.7,20.9,28.2,1.3,0.4,15.9,-1.5,1.1,82.4,107.4,-25.0,41.9,6.2,2013,PG
Chris Cedar,TOW,0.361,0.322,117.3,5.6,10.4,8.1,14.2,9.7,0.7,0.4,15.3,2.2,0.8,86.2,108.2,-22.0,22.1,5.5,2013,PG
Kerry Williams,CRN,0.371,0.361,103.8,1.3,11.0,6.1,16.4,29.8,3.9,0.3,14.0,-2.3,0.8,70.9,102.1,-31.2,27.1,5.0,2013,PG
Luke Martin,SYD,0.227,0.171,81.3,1.2,7.7,4.4,16.1,23.2,2.7,0.0,14.1,0.0,0.5,56.5,107.3,-50.8,1.5,0.3,2013,PG
Tom Wright,SYD,0.852,0.0,75.0,0.0,34.6,17.9,0.0,0.0,0.0,0.0,25.0,0.0,0.0,186.7,98.7,88.0,2.1,43.3,2012,PG
Zac Delaney,ILL,1.5,1.5,200.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,33.3,-38.2,3.0,64.3,121.3,-57.0,1.3,34.5,2012,PG
Shane McDonald,MEL,1.064,1.0,200.0,0.0,0.0,0.0,36.4,51.5,0.0,0.0,34.4,-24.4,4.0,101.6,116.0,-14.4,1.4,20.7,2012,PG
Adris DeLeon,GCB,0.533,0.483,157.7,4.5,12.5,8.4,19.3,15.5,2.8,0.4,27.2,-2.5,1.2,107.5,99.6,7.8,249.2,19.8,2012,PG
Cedric Jackson,NZB,0.495,0.455,128.6,4.9,15.7,10.3,31.9,20.1,3.8,0.8,22.3,3.4,1.2,105.1,98.5,6.7,390.1,19.2,2012,PG
Patty Mills,MEL,0.543,0.507,157.6,1.1,6.5,3.9,26.2,12.5,1.2,0.3,26.1,2.6,1.2,109.1,105.5,3.7,90.2,19.0,2012,PG
Jamar Wilson,CRN,0.55,0.486,153.6,4.8,12.9,9.0,18.1,16.8,0.9,0.3,25.9,-3.6,1.3,104.2,105.1,-0.9,251.2,18.5,2012,PG
Kevin Lisch,PER,0.586,0.527,162.2,3.0,9.5,6.3,15.5,13.9,1.7,0.7,21.9,-0.8,1.4,116.3,99.2,17.0,332.5,18.1,2012,PG
C.J. Bruton,NZB,0.537,0.523,157.5,3.1,6.2,4.6,11.5,9.3,1.3,0.1,19.8,0.7,1.2,121.0,107.5,13.5,148.2,15.7,2012,PG
Eddie Gill,TOW,0.526,0.443,151.9,1.8,10.6,6.1,22.4,18.8,2.5,0.3,23.8,-1.4,1.3,101.7,100.8,0.9,211.5,15.6,2012,PG
Larry Davidson,ILL,0.56,0.521,156.3,9.0,17.1,13.2,4.8,12.7,0.6,0.9,18.2,-3.5,1.3,109.6,113.8,-4.3,138.1,15.2,2012,PG
Damian Martin,PER,0.455,0.413,127.5,7.6,13.6,10.7,17.3,15.9,3.6,2.7,14.2,2.5,1.0,102.4,92.0,10.4,242.1,14.2,2012,PG
Adam Gibson,GCB,0.507,0.481,149.7,3.1,12.0,7.5,23.7,15.5,1.8,0.0,18.0,3.2,1.1,108.2,102.7,5.5,249.4,14.1,2012,PG
Showron Glover,ILL,0.527,0.481,131.0,2.3,7.0,4.8,38.0,30.4,4.1,0.0,26.1,-5.5,1.3,87.2,104.3,-17.1,35.0,13.9,2012,PG
Darren Ng,ADE,0.55,0.503,165.3,3.4,8.9,6.2,7.9,11.4,2.1,0.7,18.0,-1.5,1.2,110.0,112.7,-2.7,90.3,13.5,2012,PG
Chris Warren,ADE,0.549,0.514,161.4,1.5,6.6,4.0,17.1,18.6,1.2,0.4,21.5,-2.5,1.2,103.5,115.7,-12.2,172.7,13.2,2012,PG
Nathan Crosswell,ADE,0.544,0.458,117.3,1.1,8.4,4.9,29.9,24.0,1.2,0.0,17.8,3.7,1.4,106.6,116.9,-10.3,45.1,12.5,2012,PG
Myron Allen,MEL,0.48,0.44,142.7,4.0,19.1,11.2,36.4,30.1,1.9,0.7,21.2,-1.0,1.1,87.4,103.8,-16.4,75.8,12.2,2012,PG
Jason Cadee,GCB,0.478,0.461,132.8,3.9,8.8,6.3,17.0,12.9,1.3,0.5,15.1,2.7,1.0,106.8,104.6,2.3,114.4,11.3,2012,PG
Chris Cedar,TOW,0.486,0.447,140.4,2.9,8.1,5.4,15.5,17.8,1.6,0.2,19.4,-1.6,1.1,96.4,103.4,-7.0,56.6,10.2,2012,PG
Luke Martin,SYD,0.526,0.507,141.2,0.4,8.3,4.4,23.4,26.5,1.1,0.5,17.1,-1.0,1.1,93.7,110.6,-17.0,71.9,8.6,2012,PG
Tom Daly,ADE,0.504,0.5,122.5,4.3,7.9,6.0,15.2,27.7,2.2,0.0,17.1,-4.5,1.3,88.3,114.2,-25.9,9.5,8.5,2012,PG
Kerry Williams,CRN,0.36,0.364,98.2,4.4,7.8,6.1,12.7,19.8,3.7,0.5,16.3,-2.1,0.8,76.9,100.9,-24.0,38.4,7.1,2012,PG
Luke Cooper,SYD,0.431,0.369,115.0,2.4,6.6,4.5,17.1,26.1,2.1,0.0,12.8,-0.1,1.1,86.5,109.6,-23.2,56.3,6.2,2012,PG
Brendan Teys,GCB,0.427,0.417,104.2,6.0,13.6,9.7,2.7,23.7,0.9,0.0,13.1,-6.1,0.9,80.2,102.9,-22.7,9.9,4.6,2012,PG
Josh Bloxham,NZB,0.457,0.365,154.7,5.4,6.7,6.1,5.3,27.1,1.0,0.0,16.4,-8.0,1.0,83.9,108.9,-25.0,3.5,3.4,2012,PG
Gabe Hadley,CRN,1.5,1.5,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,0.0,3.0,300.0,109.4,190.6,1.8,44.7,2023,SG
Barry Brown Jr.,NZB,0.548,0.507,150.6,2.6,9.6,6.2,18.1,10.9,2.4,0.1,34.2,-2.1,1.3,108.5,107.0,1.4,243.8,21.6,2023,SG
Milton Doyle,JACK,0.563,0.52,164.4,3.2,17.6,9.9,22.9,15.8,3.0,0.7,27.7,-1.4,1.2,108.1,107.1,1.1,348.6,20.1,2023,SG
Tyler Johnson,BRI,0.595,0.552,162.6,2.1,11.1,6.8,18.3,13.0,2.1,1.1,23.8,-0.5,1.4,112.3,109.7,2.6,231.2,17.7,2023,SG
Angus Glover,SYD,0.676,0.655,173.0,4.3,14.4,9.7,11.2,10.4,1.6,0.4,15.4,1.3,1.5,131.1,104.4,26.7,187.1,16.9,2023,SG
Tahjere McCall,CRN,0.5,0.451,130.0,6.7,13.5,10.1,23.3,16.2,3.2,0.7,27.2,-1.3,1.2,99.7,101.6,-1.9,244.3,15.9,2023,SG
Chris Goulding,MEL,0.598,0.563,170.6,1.5,6.2,3.9,10.5,11.9,1.2,0.3,21.6,-1.5,1.3,114.6,113.1,1.5,209.1,14.3,2023,SG
Cameron Gliddon,NZB,0.656,0.649,157.8,2.4,11.6,7.0,5.8,7.3,1.8,1.7,12.5,0.5,1.4,131.1,107.1,24.0,104.6,13.7,2023,SG
