Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF,Season,Position
Stephen Hoare,GCB,31,505.8,137,56,120,0.463,3,12,0.25,23,27,0.821,40,75,115,31,9,4,21,66,2012,SF
Cameron Tovey,PER,32,748.7,128,55,139,0.399,14,52,0.259,4,10,0.4,41,130,171,75,36,11,43,92,2012,SF
Tommy Greer,MEL,27,553.3,120,47,130,0.359,15,54,0.283,17,26,0.654,53,94,147,21,15,2,19,75,2012,SF
Everard Bartlett,ADE,16,307.8,95,33,85,0.393,16,44,0.364,12,15,0.8,7,27,34,31,15,2,24,20,2012,SF
Dusty Rychart,CRN,14,296.3,90,41,96,0.43,0,2,0.0,8,11,0.727,29,43,72,8,6,2,22,36,2012,SF
Bennie Lewis,MEL,26,240.3,82,31,83,0.378,15,55,0.278,4,12,0.333,7,14,21,8,7,4,9,15,2012,SF
David Gruber,ILL,18,195.3,66,25,51,0.5,0,1,0.0,16,21,0.75,20,34,54,6,5,4,13,23,2012,SF
Leon Henry,NZB,23,232.7,65,25,83,0.301,15,54,0.278,2,4,0.5,23,41,64,12,11,1,17,35,2012,SF
Alex Gynes,SYD,20,222.4,59,21,50,0.423,5,12,0.417,12,25,0.462,13,17,30,3,2,3,17,35,2012,SF
B.J. Anthony,NZB,20,150.4,56,25,55,0.455,0,2,0.0,6,10,0.6,17,17,34,7,3,4,20,33,2012,SF
Graeme Dann,SYD,18,342.7,49,19,68,0.279,0,1,0.0,11,32,0.344,26,58,84,28,11,7,24,55,2012,SF
Dean Brebner,CRN,20,163.0,38,12,38,0.324,6,22,0.286,7,8,0.875,9,12,22,8,4,5,4,27,2012,SF
Everard Bartlett,PER,6,87.1,36,13,24,0.56,9,17,0.5,1,2,0.5,1,4,5,6,3,0,3,11,2012,SF
Ben Purser,PER,10,43.2,19,7,14,0.467,0,4,0.0,6,7,0.857,1,5,6,5,0,0,4,4,2012,SF
Daniel Jackson,ILL,12,26.9,5,2,6,0.333,0,3,0.0,1,3,0.333,3,1,4,1,0,0,1,1,2012,SF
Morgan Natanahira,NZB,1,17.1,4,2,7,0.286,0,0,0.0,0,0,0.0,1,2,3,2,0,0,1,4,2012,SF
Zac Carter,GCB,7,15.7,3,1,3,0.333,0,2,0.0,1,2,0.5,0,2,2,1,0,1,2,3,2012,SF
Jan Warbout,ADE,3,3.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2012,SF
Mitchell Creek,SEM,29,984.8,681,244,488,0.501,38,119,0.319,154,199,0.774,61,142,203,83,24,5,56,53,2023,PF
Xavier Cooks,SYD,34,901.2,502,196,343,0.573,9,27,0.321,101,183,0.551,65,192,258,122,17,21,88,68,2023,PF
Robert Franks,ADE,28,857.8,488,180,360,0.5,46,127,0.364,82,105,0.776,48,131,179,62,20,21,77,75,2023,PF
Bul Kuol,CRN,33,941.7,335,117,276,0.423,47,147,0.322,54,71,0.764,35,84,119,52,24,5,55,89,2023,PF
Keanu Pinder,CRN,19,557.4,317,116,232,0.5,6,29,0.207,79,107,0.734,53,121,174,44,24,13,53,60,2023,PF
Luke Travers,PER,29,715.3,282,104,209,0.495,33,84,0.393,41,56,0.732,33,132,165,85,32,19,44,32,2023,PF
Deng Deng,ILL,28,675.8,241,85,222,0.383,31,101,0.307,40,58,0.69,35,146,181,33,30,18,37,67,2023,PF
D.J. Mitchell,BRI,26,618.3,239,88,189,0.469,32,75,0.434,29,33,0.882,24,95,119,35,10,8,38,74,2023,PF
Majok Deng,CRN,32,507.9,201,71,177,0.4,30,100,0.294,30,35,0.833,34,89,123,14,22,8,25,38,2023,PF
Thomas Abercrombie,NZB,28,644.9,154,54,136,0.396,30,78,0.377,16,22,0.727,22,59,81,17,38,5,17,83,2023,PF
Reuben Te Rangi,SEM,29,513.1,148,55,131,0.42,19,65,0.292,19,33,0.576,27,59,86,29,15,5,30,53,2023,PF
David Okwera,MEL,27,387.1,114,44,98,0.454,11,41,0.268,14,20,0.7,28,64,93,25,7,11,26,34,2023,PF
Matthew Kenyon,JACK,21,342.9,94,32,86,0.378,19,54,0.346,10,17,0.625,26,43,69,16,9,1,15,30,2023,PF
Mason Peatling,MEL,17,291.9,89,36,87,0.414,7,24,0.292,10,18,0.556,19,54,73,18,5,8,29,31,2023,PF
David Barlow,MEL,21,375.4,81,28,68,0.412,21,50,0.42,4,4,1.0,4,46,50,26,11,5,13,58,2023,PF
Dane Pineau,SEM,27,279.1,56,25,43,0.581,0,3,0.0,6,18,0.333,37,50,87,10,13,6,10,33,2023,PF
Kyrin Galloway,ADE,22,153.5,55,20,42,0.465,14,30,0.452,2,6,0.333,3,14,17,6,2,13,4,13,2023,PF
Tohi Smith-Milner,SEM,17,93.8,39,13,28,0.464,4,12,0.333,9,13,0.692,5,10,15,9,3,2,5,16,2023,PF
Jordan Caroline,MEL,6,129.7,33,14,52,0.275,2,13,0.154,3,10,0.3,15,22,37,4,4,2,7,12,2023,PF
Dan Fotu,NZB,14,38.1,15,6,9,0.667,2,3,0.667,1,1,1.0,6,6,12,1,0,0,1,6,2023,PF
Isaac Gattorna,SYD,12,40.0,8,2,5,0.4,1,2,0.5,3,4,0.75,2,9,11,2,1,1,3,8,2023,PF
Matt Johns,BRI,8,28.6,3,1,1,1.0,0,0,0.0,1,8,0.125,1,2,3,2,2,0,1,4,2023,PF
Mitchell Creek,SEM,28,968.1,570,214,456,0.468,44,136,0.324,99,123,0.805,46,113,159,80,32,6,63,61,2022,PF
Robert Franks,BRI,27,889.9,483,174,352,0.494,62,158,0.391,73,95,0.763,55,179,234,41,23,14,45,64,2022,PF
Xavier Cooks,SYD,31,872.1,472,188,333,0.565,13,42,0.302,83,129,0.644,86,217,304,87,15,61,75,63,2022,PF
Jack McVeigh,JACK,33,863.9,414,158,345,0.458,62,165,0.373,36,43,0.833,53,108,161,27,20,6,26,41,2022,PF
Majok Deng,CRN,28,803.1,396,138,289,0.478,47,127,0.367,73,80,0.914,47,89,136,28,17,17,49,58,2022,PF
Keanu Pinder,CRN,28,626.9,302,118,214,0.551,3,16,0.188,63,90,0.692,64,144,208,31,21,27,36,79,2022,PF
Finn Delany,NZB,26,830.7,266,95,241,0.394,36,120,0.297,41,56,0.727,20,125,145,53,16,5,60,75,2022,PF
Samson Froling,ILL,30,790.0,266,110,205,0.537,2,7,0.286,44,70,0.629,92,129,221,47,13,34,31,61,2022,PF
Todd Blanchfield,PER,23,634.8,241,86,196,0.436,37,98,0.381,32,43,0.744,15,82,97,19,16,10,16,35,2022,PF
Jack White,MEL,26,607.9,238,96,179,0.536,10,40,0.244,36,57,0.638,63,113,176,23,15,20,34,49,2022,PF
Luke Travers,PER,27,593.4,212,80,193,0.417,17,68,0.25,34,50,0.68,38,107,145,63,23,18,42,24,2022,PF
Cameron Bairstow,ADE,18,388.0,209,85,183,0.464,10,38,0.27,30,48,0.617,57,88,145,32,16,11,30,36,2022,PF
Brandon Ashley,SEM,23,379.3,205,75,124,0.605,2,5,0.4,53,76,0.697,49,67,116,16,10,15,27,79,2022,PF
Jesse Wagstaff,PER,28,514.0,175,61,154,0.399,23,70,0.329,29,32,0.906,20,53,73,24,15,3,24,63,2022,PF
Fabijan Krslovic,JACK,33,466.6,135,54,140,0.39,13,47,0.283,12,23,0.545,53,79,132,32,21,8,28,81,2022,PF
Mason Peatling,MEL,30,410.3,117,42,108,0.387,13,38,0.333,20,30,0.677,36,66,102,19,12,6,19,41,2022,PF
Kyrin Galloway,NZB,21,219.0,59,25,57,0.429,4,24,0.174,6,8,0.75,18,22,40,4,3,14,2,17,2022,PF
Jarred Bairstow,JACK,28,240.4,54,21,39,0.526,0,0,0.0,12,21,0.6,27,28,55,16,10,3,8,43,2022,PF
David Barlow,MEL,24,221.8,38,13,50,0.255,11,45,0.239,2,4,0.5,5,25,30,13,5,4,8,23,2022,PF
Tohi Smith-Milner,SEM,23,92.5,34,14,26,0.538,3,10,0.3,3,4,0.75,9,17,26,2,1,1,2,18,2022,PF
Dane Pineau,SEM,25,241.4,31,14,31,0.452,0,0,0.0,3,8,0.375,35,39,74,13,9,9,9,35,2022,PF
Matur Maker,SYD,14,93.7,25,7,27,0.25,2,13,0.143,10,13,0.714,6,21,27,3,3,3,7,9,2022,PF
David Okwera,MEL,8,62.0,16,7,16,0.438,1,7,0.143,2,3,0.667,5,8,13,3,0,3,4,2,2022,PF
Isaac Gattorna,ADE,10,41.6,12,5,15,0.333,1,10,0.1,1,3,0.333,3,6,9,3,0,0,2,6,2022,PF
Brayden Inger,CRN,15,68.6,10,4,12,0.333,2,8,0.25,0,0,0.0,0,5,5,1,0,0,4,5,2022,PF
Isaac Davidson,NZB,4,10.3,5,1,6,0.167,1,6,0.167,2,2,1.0,0,1,1,0,0,0,0,2,2022,PF
Steve Taylor Jr.,SEM,1,4.5,3,1,2,0.5,0,0,0.0,1,2,0.5,2,1,3,0,0,0,1,1,2022,PF
Jarell Martin,SYD,28,743.7,496,196,391,0.501,30,74,0.4,75,96,0.784,53,138,192,30,19,13,48,60,2021,PF
Samson Froling,ILL,39,1100.0,440,189,365,0.516,6,30,0.2,57,97,0.588,102,167,269,60,20,56,51,95,2021,PF
Thomas Abercrombie,NZB,27,892.4,290,100,234,0.426,36,114,0.313,55,64,0.857,19,73,93,21,14,9,28,67,2021,PF
Reuben Te Rangi,SEM,39,925.4,270,100,246,0.407,35,124,0.282,36,53,0.679,22,109,131,42,21,4,40,99,2021,PF
Majok Deng,CRN,20,484.0,243,89,186,0.481,24,65,0.369,40,50,0.8,37,50,87,21,6,21,23,35,2021,PF
Lamar Patterson,BRI,17,481.7,233,86,207,0.414,25,72,0.347,37,54,0.679,16,63,79,47,24,0,34,45,2021,PF
Mason Peatling,MEL,39,633.5,228,94,183,0.514,9,32,0.281,32,41,0.78,70,84,154,39,27,23,42,62,2021,PF
Craig Moller,SYD,36,734.1,228,84,184,0.457,22,57,0.379,39,53,0.722,64,134,199,71,20,24,23,64,2021,PF
Kouat Noi,CRN,18,433.9,183,63,161,0.39,25,77,0.329,32,37,0.865,13,69,82,19,16,8,30,24,2021,PF
Keanu Pinder,ADE,35,606.4,168,65,157,0.414,14,47,0.298,24,36,0.667,51,98,149,19,24,32,40,96,2021,PF
Cameron Bairstow,ILL,14,299.7,158,60,133,0.452,14,36,0.378,24,32,0.727,32,54,86,18,6,11,22,36,2021,PF
Orlando Johnson,BRI,15,326.8,101,34,92,0.372,10,39,0.25,23,29,0.767,14,46,60,25,8,6,11,25,2021,PF
Jack White,MEL,11,246.6,99,37,76,0.494,10,33,0.303,14,19,0.737,21,43,64,11,8,22,13,13,2021,PF
Kyrin Galloway,NZB,27,185.5,34,13,30,0.433,6,16,0.375,2,3,0.667,10,22,32,7,4,13,8,22,2021,PF
Archie Woodhill,SYD,9,39.0,9,4,8,0.5,0,2,0.0,1,1,1.0,4,1,5,2,0,1,2,4,2021,PF
Blake Jones,BRI,7,33.1,8,3,9,0.333,1,3,0.333,1,2,0.5,2,2,4,1,0,0,2,3,2021,PF
Owen Hulland,ADE,10,16.4,2,1,5,0.2,0,3,0.0,0,0,0.0,0,4,4,0,0,0,1,6,2021,PF
Dane Pineau,SEM,1,11.3,0,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,1,0,0,0,2,2021,PF
Nick Kay,PER,34,1052.5,561,203,385,0.527,51,103,0.495,105,123,0.847,100,184,284,111,43,23,44,65,2020,PF
Brad Newley,SYD,34,874.8,382,136,289,0.47,53,149,0.353,58,79,0.728,21,125,146,50,19,10,38,55,2020,PF
Majok Deng,CRN,31,749.4,373,127,261,0.488,38,106,0.362,80,100,0.798,35,90,125,37,19,22,44,74,2020,PF
Brandon Ashley,NZB,28,591.9,307,124,225,0.55,11,35,0.324,48,70,0.691,68,119,186,25,16,24,36,110,2020,PF
Finn Delany,NZB,20,586.3,257,80,171,0.47,35,88,0.405,61,76,0.808,27,99,126,42,14,8,23,46,2020,PF
Tim Coenraad,ILL,28,518.9,228,82,179,0.458,37,103,0.363,27,36,0.75,20,53,73,40,16,6,27,62,2020,PF
E.J. Singler,BRI,28,583.7,223,86,155,0.551,28,63,0.444,24,30,0.8,41,75,116,50,23,3,33,80,2020,PF
Kouat Noi,CRN,22,516.2,212,77,185,0.418,26,77,0.342,31,47,0.674,37,92,129,27,14,6,38,45,2020,PF
David Barlow,MEL,29,634.3,206,65,154,0.423,46,107,0.435,29,38,0.763,19,93,112,25,15,5,26,88,2020,PF
Tai Wesley,SEM,18,438.4,193,79,192,0.411,11,44,0.25,24,32,0.75,28,49,77,51,10,17,29,58,2020,PF
Dario Hunt,PER,21,397.8,190,79,131,0.605,0,0,0.0,32,56,0.566,55,75,130,39,5,15,39,57,2020,PF
David Andersen,ILL,16,198.5,108,46,97,0.474,9,22,0.409,7,8,0.875,16,26,43,13,3,2,17,23,2020,PF
Tohi Smith-Milner,MEL,28,329.0,96,29,80,0.363,13,53,0.245,26,33,0.788,21,37,58,14,3,5,15,43,2020,PF
Obi Kyei,ADE,28,370.2,90,33,87,0.374,1,12,0.083,24,48,0.5,37,78,114,14,21,15,25,71,2020,PF
Rhys Vague,PER,27,184.7,56,20,43,0.463,6,21,0.3,10,16,0.667,17,33,50,4,3,5,8,21,2020,PF
Billy Preston,ILL,3,52.7,20,6,24,0.261,1,8,0.125,6,8,0.75,2,11,14,0,2,0,4,11,2020,PF
Taylor Britt,PER,16,48.7,19,8,16,0.5,1,3,0.333,1,2,0.5,0,4,4,9,0,1,1,7,2020,PF
Nic Pozoglou,PER,10,44.6,10,5,11,0.455,0,1,0.0,0,0,0.0,8,5,14,1,1,0,6,6,2020,PF
Jack Purchase,MEL,3,15.0,6,2,5,0.4,2,5,0.4,0,0,0.0,0,2,2,3,1,0,0,2,2020,PF
Deng Acuoth,SEM,5,12.5,0,0,2,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,1,0,3,2020,PF
Nick Kay,PER,34,1054.4,521,206,373,0.552,25,57,0.436,84,109,0.771,115,185,300,105,43,15,37,59,2019,PF
Tai Wesley,NZB,28,787.6,400,159,329,0.483,28,83,0.333,54,74,0.733,47,100,147,98,27,30,44,77,2019,PF
Brian Conklin,ILL,28,727.1,396,139,291,0.478,1,10,0.1,116,162,0.719,46,98,144,56,18,5,55,77,2019,PF
David Barlow,MEL,34,906.7,383,136,289,0.468,72,176,0.41,40,56,0.709,35,123,158,70,28,22,63,112,2019,PF
Cameron Bairstow,BRI,29,615.8,340,143,291,0.49,17,39,0.436,37,72,0.521,58,112,170,39,8,16,44,77,2019,PF
Jake Wiley,ADE,28,630.4,323,132,234,0.565,9,28,0.333,50,66,0.757,47,86,133,25,16,16,44,49,2019,PF
Daniel Kickert,SYD,30,637.7,291,104,218,0.479,36,82,0.438,46,55,0.849,9,66,75,34,9,4,35,52,2019,PF
David Wear,SYD,30,605.3,214,82,181,0.451,35,88,0.4,15,17,0.938,27,88,115,27,9,8,23,53,2019,PF
Alex Loughton,CRN,25,465.3,166,58,152,0.384,27,80,0.338,22,27,0.815,20,50,70,24,9,3,14,58,2019,PF
Lucas Walker,CRN,26,447.2,160,62,138,0.449,11,36,0.306,25,32,0.781,36,70,106,20,22,4,27,65,2019,PF
Rhys Vague,PER,33,251.7,70,24,78,0.307,11,47,0.244,10,15,0.714,19,48,67,19,1,10,10,20,2019,PF
Ray Turner,SYD,10,79.4,46,21,33,0.625,0,1,0.0,5,6,0.833,7,14,22,3,5,3,4,22,2019,PF
Mitchell Young,CRN,22,178.4,45,18,38,0.474,0,3,0.0,9,14,0.643,14,25,39,5,5,4,10,27,2019,PF
Tohi Smith-Milner,MEL,24,90.2,28,5,20,0.25,2,8,0.25,15,19,0.789,1,7,8,8,1,2,9,20,2019,PF
Dane Pineau,SYD,26,169.0,16,6,14,0.429,0,1,0.0,4,6,0.667,18,29,46,8,6,7,6,27,2019,PF
Nic Pozoglou,ILL,5,29.8,9,3,5,0.6,1,1,1.0,2,4,0.5,3,4,7,2,2,0,2,1,2019,PF
Kyle Bowen,PER,3,5.4,3,1,1,1.0,0,0,0.0,1,2,0.5,1,3,4,1,0,0,0,0,2019,PF
Deng Acuoth,SYD,4,2.7,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,2019,PF
Perry Ellis,SYD,27,821.7,404,151,315,0.478,34,77,0.447,69,95,0.723,47,109,157,41,15,16,19,40,2018,PF
Tai Wesley,MEL,35,854.6,399,159,318,0.498,23,63,0.359,59,81,0.72,65,122,187,97,28,39,60,108,2018,PF
Alex Loughton,CRN,28,734.7,373,131,304,0.432,49,129,0.377,61,67,0.921,37,70,107,52,20,10,35,88,2018,PF
Daniel Kickert,BRI,26,729.6,367,134,258,0.522,38,92,0.418,60,65,0.922,18,104,122,44,9,8,46,43,2018,PF
Thomas Abercrombie,NZB,30,816.6,300,100,269,0.374,44,136,0.321,56,81,0.688,37,111,147,29,19,44,27,63,2018,PF
Jesse Wagstaff,PER,29,602.3,277,83,208,0.398,38,100,0.381,73,87,0.845,25,72,97,40,14,6,19,64,2018,PF
Lucas Walker,PER,30,620.0,273,100,210,0.475,24,75,0.315,49,64,0.774,62,113,175,50,15,5,40,90,2018,PF
Derek Cooke Jr.,PER,30,466.1,177,73,130,0.563,0,0,0.0,30,53,0.569,75,94,169,18,27,22,29,57,2018,PF
Jerry Evans,CRN,22,374.5,175,60,159,0.38,20,64,0.317,34,54,0.627,40,67,107,16,16,15,23,53,2018,PF
Cody Ellis,ILL,20,315.0,132,40,94,0.427,25,58,0.424,27,29,0.931,6,21,27,23,16,8,13,26,2018,PF
David Barlow,MEL,34,495.0,121,41,92,0.441,33,71,0.458,7,10,0.7,17,68,85,24,7,6,13,69,2018,PF
Craig Moller,MEL,35,457.3,120,45,124,0.36,12,48,0.25,19,31,0.613,37,56,92,28,11,12,17,68,2018,PF
Delvon Johnson,ILL,28,539.8,118,51,92,0.558,0,1,0.0,15,37,0.421,40,86,126,39,8,21,27,68,2018,PF
Mitchell Young,BRI,25,250.0,114,42,83,0.512,0,0,0.0,29,41,0.707,23,34,57,7,11,5,13,32,2018,PF
Anthony Petrie,BRI,16,261.8,100,34,70,0.486,5,13,0.385,26,28,0.929,11,36,47,22,5,6,15,28,2018,PF
Oscar Forman,ILL,26,243.3,93,32,79,0.402,24,64,0.379,6,9,0.667,7,26,33,6,4,5,6,25,2018,PF
Rakeem Christmas,NZB,12,184.6,92,36,76,0.48,0,0,0.0,19,35,0.543,24,45,69,4,7,5,15,34,2018,PF
Dane Pineau,SYD,24,266.1,70,29,47,0.617,5,11,0.455,6,10,0.6,24,41,66,14,6,11,6,43,2018,PF
Majok Majok,MEL,22,224.7,59,25,46,0.532,0,0,0.0,10,17,0.588,22,37,59,4,1,5,9,37,2018,PF
Tohi Smith-Milner,MEL,25,163.4,57,20,39,0.513,6,17,0.353,12,19,0.632,13,15,28,6,5,7,8,32,2018,PF
Tom Garlepp,SYD,22,167.4,53,14,38,0.378,1,11,0.091,23,27,0.885,10,15,26,12,9,7,5,16,2018,PF
Matthew Knight,PER,5,63.0,28,13,25,0.542,0,0,0.0,1,5,0.2,4,7,11,3,2,1,2,5,2018,PF
Rhys Vague,PER,13,36.4,20,7,21,0.333,2,11,0.182,4,7,0.571,4,4,8,0,1,1,2,4,2018,PF
Caleb Davis,ADE,5,10.1,6,3,4,0.75,0,1,0.0,0,0,0.0,3,3,6,1,0,0,1,0,2018,PF
Alan Wiggins Jr.,ADE,1,8.3,2,1,7,0.143,0,1,0.0,0,0,0.0,1,3,4,0,0,0,0,1,2018,PF
Daniel Johnson,ADE,29,860.8,412,129,285,0.452,33,90,0.365,121,154,0.785,48,146,194,57,22,8,56,63,2017,PF
Greg Whittington,SYD,28,857.8,330,125,271,0.46,39,106,0.365,42,59,0.707,47,137,184,52,43,27,50,87,2017,PF
Nick Kay,ILL,34,683.5,307,125,231,0.544,12,37,0.316,44,63,0.708,60,89,149,69,33,14,39,51,2017,PF
Jesse Wagstaff,PER,33,676.4,305,96,245,0.391,43,137,0.316,70,89,0.791,25,72,97,39,23,4,25,87,2017,PF
Mark Worthington,CRN,28,757.0,277,85,223,0.38,26,94,0.275,82,88,0.941,31,102,133,95,20,6,41,76,2017,PF
Jameel McKay,PER,33,722.7,263,101,181,0.557,0,0,0.0,62,98,0.632,98,117,215,35,23,46,44,81,2017,PF
Josh Powell,SYD,27,540.6,260,99,206,0.48,0,2,0.0,62,77,0.803,54,77,131,27,5,22,45,88,2017,PF
Akil Mitchell,NZB,25,567.9,235,104,187,0.556,2,3,0.667,26,78,0.329,48,129,177,53,20,11,46,65,2017,PF
Oscar Forman,ILL,34,429.3,210,70,160,0.434,55,128,0.429,16,22,0.739,14,44,59,14,6,4,12,42,2017,PF
Eric Jacobsen,ADE,31,654.2,199,72,131,0.547,2,2,1.0,54,90,0.6,61,111,173,26,15,21,41,100,2017,PF
Alex Loughton,CRN,26,455.6,177,68,149,0.455,26,63,0.41,15,22,0.714,24,55,79,33,11,3,17,50,2017,PF
Cameron Bairstow,BRI,14,271.0,170,59,129,0.457,2,7,0.286,50,64,0.778,28,58,86,13,11,4,23,36,2017,PF
Majok Majok,MEL,28,510.8,161,67,114,0.584,0,0,0.0,28,37,0.757,67,99,165,14,11,13,20,65,2017,PF
Tom Garlepp,SYD,28,464.7,159,60,138,0.437,6,18,0.333,33,44,0.744,21,53,75,31,11,16,21,64,2017,PF
Mitchell Young,BRI,28,369.2,157,64,111,0.574,0,1,0.0,30,42,0.707,41,40,81,7,13,6,28,71,2017,PF
Cody Ellis,ILL,34,462.8,151,52,141,0.37,20,64,0.318,26,31,0.844,9,41,49,35,12,11,21,42,2017,PF
Anthony Petrie,BRI,18,282.5,131,46,99,0.469,10,23,0.455,29,40,0.718,18,38,56,23,5,7,27,37,2017,PF
Paul Carter,NZB,11,242.4,98,35,79,0.444,19,37,0.5,9,14,0.643,11,37,48,10,9,8,16,32,2017,PF
David Barlow,MEL,19,379.2,97,34,86,0.395,19,55,0.345,10,12,0.833,9,42,51,25,8,5,9,50,2017,PF
Shawn Redhage,PER,33,256.4,92,31,80,0.385,9,35,0.265,21,30,0.69,8,31,39,19,7,4,16,46,2017,PF
Devin Williams,MEL,16,168.0,52,20,44,0.465,0,0,0.0,11,26,0.423,15,50,65,0,2,1,11,28,2017,PF
Craig Moller,SYD,14,111.1,44,15,33,0.469,3,14,0.214,10,10,1.0,13,17,31,4,1,4,2,16,2017,PF
Jeromie Hill,SYD,19,106.8,38,16,33,0.485,4,9,0.444,2,2,1.0,9,15,24,9,5,8,8,22,2017,PF
Tohi Smith-Milner,MEL,8,20.4,3,1,6,0.167,1,4,0.25,0,0,0.0,2,2,4,1,2,0,3,4,2017,PF
Lucas Walker,PER,2,16.4,2,1,2,0.5,0,0,0.0,0,0,0.0,0,3,3,1,0,0,1,2,2017,PF
Liu Bo,SYD,5,8.4,2,1,2,0.5,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,1,2017,PF
Matthew Knight,PER,33,842.0,390,167,346,0.482,0,3,0.0,56,91,0.618,102,163,265,47,14,10,35,56,2016,PF
Tom Garlepp,SYD,27,716.9,359,131,249,0.529,19,38,0.5,77,99,0.777,25,84,109,56,12,12,38,57,2016,PF
Hakim Warrick,MEL,23,509.8,332,119,238,0.5,1,6,0.167,93,143,0.65,51,90,141,18,12,17,29,30,2016,PF
Mark Worthington,CRN,28,774.1,331,112,282,0.398,23,94,0.244,84,102,0.825,25,115,140,77,30,15,43,85,2016,PF
Jesse Wagstaff,PER,34,662.0,320,96,247,0.387,46,135,0.338,83,99,0.845,38,100,137,54,16,4,29,69,2016,PF
Nick Kay,TOW,28,787.1,307,127,240,0.528,8,24,0.348,45,60,0.746,86,104,190,36,12,7,35,58,2016,PF
Anthony Petrie,ADE,28,743.6,267,104,221,0.472,9,29,0.3,50,66,0.754,72,98,171,42,8,15,38,84,2016,PF
Oscar Forman,ILL,31,642.4,245,91,212,0.428,50,131,0.383,14,17,0.824,36,71,107,26,9,9,16,91,2016,PF
Shawn Redhage,PER,34,558.7,229,73,189,0.387,24,69,0.353,58,66,0.877,38,68,106,49,9,4,46,74,2016,PF
Alex Loughton,CRN,28,598.3,198,66,193,0.342,23,78,0.297,43,49,0.872,45,66,111,40,9,7,28,81,2016,PF
Cody Ellis,ILL,29,527.3,173,54,146,0.372,25,69,0.357,39,49,0.8,22,52,74,31,21,14,21,49,2016,PF
Majok Majok,MEL,30,586.3,170,66,136,0.489,0,0,0.0,37,69,0.529,68,148,217,14,11,14,17,77,2016,PF
Lucas Walker,ADE,28,445.8,144,56,125,0.446,7,26,0.259,25,47,0.531,40,92,133,17,13,5,31,62,2016,PF
Mitchell Young,TOW,27,469.6,136,49,111,0.44,0,2,0.0,38,75,0.507,47,65,112,13,2,12,25,73,2016,PF
Al Harrington,SYD,6,165.0,100,31,80,0.388,9,25,0.385,28,45,0.625,10,28,39,15,3,0,15,20,2016,PF
Jeromie Hill,SYD,23,262.5,91,39,87,0.451,7,30,0.226,6,16,0.353,25,41,66,9,4,6,13,41,2016,PF
Harry Froling,TOW,9,46.2,14,4,12,0.333,2,4,0.5,4,6,0.667,4,3,7,5,0,1,2,6,2016,PF
Tohi Smith-Milner,MEL,2,21.5,8,3,7,0.429,2,5,0.4,0,0,0.0,0,1,1,0,0,1,2,5,2016,PF
Tai Wynyard,NZB,5,13.5,5,2,4,0.5,0,0,0.0,1,2,0.5,2,3,5,0,0,0,1,3,2016,PF
Daniel Carlin,ADE,9,36.0,2,1,5,0.2,0,0,0.0,0,0,0.0,1,8,9,1,0,0,1,12,2016,PF
DeAndre Daniels,PER,30,921.6,459,168,423,0.396,47,137,0.341,78,117,0.664,76,164,240,36,20,33,71,73,2015,PF
Todd Blanchfield,TOW,28,799.1,405,144,322,0.448,55,158,0.346,63,74,0.851,50,118,168,47,11,8,39,61,2015,PF
Tom Garlepp,SYD,28,788.9,381,135,287,0.472,9,19,0.474,101,132,0.765,30,86,116,63,16,28,40,70,2015,PF
Brian Ibekwe,NZB,32,696.1,371,150,251,0.596,2,5,0.4,70,111,0.628,63,131,194,30,28,56,42,112,2015,PF
Thomas Abercrombie,NZB,29,825.7,321,111,232,0.479,48,102,0.471,50,75,0.671,37,87,124,29,18,29,29,68,2015,PF
Anthony Petrie,ADE,30,786.4,290,115,241,0.479,9,33,0.286,51,70,0.72,58,118,176,44,9,24,42,73,2015,PF
Tim Coenraad,ILL,26,739.8,271,100,212,0.471,33,81,0.405,38,43,0.881,35,120,155,46,15,7,65,62,2015,PF
Jesse Wagstaff,PER,30,625.7,265,89,215,0.413,31,96,0.323,56,69,0.806,42,81,123,31,18,2,29,65,2015,PF
Matt Burston,CRN,32,614.2,235,94,174,0.539,0,0,0.0,47,82,0.577,68,107,174,34,22,20,40,111,2015,PF
David Barlow,MEL,25,599.3,221,73,162,0.448,54,116,0.466,22,29,0.733,13,78,91,20,11,5,22,82,2015,PF
Cody Ellis,SYD,28,504.8,192,62,149,0.413,18,58,0.31,51,61,0.836,34,61,95,24,14,25,21,34,2015,PF
Lucas Walker,MEL,26,437.2,130,48,127,0.38,16,50,0.314,18,26,0.692,23,81,104,16,10,3,29,60,2015,PF
Adam Ballinger,ILL,28,399.5,121,49,126,0.39,10,51,0.2,12,14,0.857,23,47,70,9,5,15,14,49,2015,PF
Mitchell Young,CRN,32,356.8,92,34,85,0.395,0,3,0.0,24,42,0.575,34,39,73,13,4,3,20,56,2015,PF
Auryn MacMillan,MEL,14,108.5,17,7,20,0.35,0,0,0.0,3,4,0.75,13,10,23,3,2,2,4,16,2015,PF
